,Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
98,CAMK,Hek293_XO44 / Hek293_control,Q15831,Q15831,7.68504761143379,7.68504761143379,0.0055185509429061,0.0049195850368494,6,Q15831,STK11,Serine/threonine-protein kinase STK11,STK11_HUMAN,12,20479.2645031715,205.792645031715,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,membrane,TCR signalosome,extracellular exosome","magnesium ion binding,p53 binding,protein serine/threonine kinase activity,protein binding,ATP binding,LRR domain binding,protein kinase activator activity","regulation of cell growth,tissue homeostasis,vasculature development,protein phosphorylation,autophagy,cellular response to DNA damage stimulus,cell cycle arrest,spermatogenesis,nervous system development,axonogenesis,negative regulation of cell proliferation,response to ionizing radiation,positive regulation of autophagy,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,establishment of cell polarity,regulation of Wnt signaling pathway,cell differentiation,negative regulation of cell growth,positive regulation of transforming growth factor beta receptor signaling pathway,activation of protein kinase activity,TCR signalosome assembly,glucose homeostasis,anoikis,positive thymic T cell selection,protein autophosphorylation,regulation of dendrite morphogenesis,positive regulation of peptidyl-tyrosine phosphorylation,positive regulation of axonogenesis,T cell receptor signaling pathway,negative regulation of lipid biosynthetic process,Golgi localization,regulation of protein kinase B signaling,canonical Wnt signaling pathway,negative regulation of epithelial cell proliferation involved in prostate gland development,cellular response to UV-B,positive regulation of protein serine/threonine kinase activity,intrinsic apoptotic signaling pathway by p53 class mediator,dendrite extension,positive regulation of protein localization to nucleus,regulation of signal transduction by p53 class mediator,negative regulation of TORC1 signaling"
99,CAMK,Hek293_XO44 / Hek293_control,P57058,P57058,4.69420791954436,4.69420791954436,0.0022534433209189,0.0047730276111831,6,P57058,HUNK,Hormonally up-regulated neu tumor-associated kinase,HUNK_HUMAN,14,2488.79338178854,25.8879338178854,Hek293_XO44,Hek293_control,"nucleus,cytoplasm","protein serine/threonine kinase activity,protein binding,ATP binding","protein phosphorylation,signal transduction,multicellular organism development,intracellular signal transduction"
100,CAMK,Hek293_XO44 / Hek293_control,Q9BYT3,Q9BYT3,7.47032000032435,7.47032000032435,0.0046127901511926,0.0048184944764439,6,Q9BYT3,STK33,Serine/threonine-protein kinase 33,STK33_HUMAN,18,17633.3341389916,177.333341389916,Hek293_XO44,Hek293_control,"intracellular,perinuclear region of cytoplasm","protein serine/threonine kinase activity,ATP binding","peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,intracellular signal transduction,protein autophosphorylation"
101,CK1,Hek293_XO44 / Hek293_control,P48729,P48729,5.83173643463873,5.83173643463873,0.0021985904495968,0.0047730276111831,6,P48729,CSNK1A1,Casein kinase I isoform alpha,KC1A_HUMAN,12,5595.44409943545,56.9544409943545,Hek293_XO44,Hek293_control,"condensed chromosome kinetochore,centrosome,cytosol,cilium,membrane,nuclear speck,intracellular ribonucleoprotein complex,beta-catenin destruction complex,ciliary basal body,mRNA cleavage and polyadenylation specificity factor complex,keratin filament,nucleus,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,kinase activity","cell morphogenesis,protein phosphorylation,phagocytosis,Golgi organization,cell cycle,signal transduction,cell surface receptor signaling pathway,regulation of cell shape,Wnt signaling pathway,peptidyl-serine phosphorylation,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,proteasome-mediated ubiquitin-dependent protein catabolic process,intermediate filament cytoskeleton organization,cell division,negative regulation of canonical Wnt signaling pathway,regulation of GTP binding,beta-catenin destruction complex assembly,beta-catenin destruction complex disassembly"
102,CK1,Hek293_XO44 / Hek293_control,P78368,P78368,6.08662451522696,6.08662451522696,0.0073288397438922,0.0052763206560434,6,P78368,CSNK1G2,Casein kinase I isoform gamma-2,KC1G2_HUMAN,5,6696.0497812417,67.960497812417,Hek293_XO44,Hek293_control,"nucleus,cytoplasm,cytosol,membrane","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,peptide binding,phosphoprotein binding","protein phosphorylation,endocytosis,signal transduction,regulation of cell shape,Wnt signaling pathway,peptidyl-serine phosphorylation,sphingolipid biosynthetic process,protein autophosphorylation"
103,CK1,Hek293_XO44 / Hek293_control,Q8IV63,Q8IV63,3.60154788045629,3.60154788045629,0.0001116883965661,0.001571310693571,6,Q8IV63,VRK3,Inactive serine/threonine-protein kinase VRK3,VRK3_HUMAN,8,1113.87493210008,12.1387493210008,Hek293_XO44,Hek293_control,"nucleus,nucleolus,cytoplasm,intracellular membrane-bounded organelle","protein serine/threonine kinase activity,protein binding,ATP binding,protein phosphatase binding","regulation of cell shape,peptidyl-serine phosphorylation,positive regulation of phosphoprotein phosphatase activity,negative regulation of ERK1 and ERK2 cascade,endocytosis,Wnt signaling pathway"
104,CK1,Hek293_XO44 / Hek293_control,P48730,P48730,6.21196463022374,6.21196463022374,0.0049095217073147,0.004849565541364,6,P48730,CSNK1D,Casein kinase I isoform delta,KC1D_HUMAN,8,7312.89221953719,74.1289221953719,Hek293_XO44,Hek293_control,"Golgi membrane,nucleus,nucleoplasm,Golgi apparatus,centrosome,spindle,cytosol,spindle microtubule,plasma membrane,endoplasmic reticulum-Golgi intermediate compartment membrane,neuron projection,perinuclear region of cytoplasm,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,peptide binding,cadherin binding,tau-protein kinase activity","G2/M transition of mitotic cell cycle,positive regulation of protein phosphorylation,rRNA processing,protein phosphorylation,endocytosis,microtubule nucleation,Golgi organization,regulation of cell shape,regulation of G2/M transition of mitotic cell cycle,Wnt signaling pathway,peptidyl-serine phosphorylation,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,circadian regulation of gene expression,protein localization to Golgi apparatus,regulation of circadian rhythm,COPII vesicle coating,spindle assembly,protein localization to cilium,protein localization to centrosome,positive regulation of canonical Wnt signaling pathway,ciliary basal body docking,positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation,Requires Ontology,cellular response to nerve growth factor stimulus,positive regulation of non-canonical Wnt signaling pathway"
105,CK1,Hek293_XO44 / Hek293_control,Q9Y6M4,Q9Y6M4,6.22580913922525,6.22580913922525,0.0042978745072377,0.0048000942400025,6,Q9Y6M4,CSNK1G3,Casein kinase I isoform gamma-3,KC1G3_HUMAN,15,7384.3708425284,74.843708425284,Hek293_XO44,Hek293_control,"nucleus,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,ATP binding","cellular protein modification process,endocytosis,signal transduction,regulation of cell shape,Wnt signaling pathway,peptidyl-serine phosphorylation"
106,CK1,Hek293_XO44 / Hek293_control,Q9HCP0,Q9HCP0,4.67705105374001,4.67705105374001,0.0033655218621752,0.0047730276111831,6,Q9HCP0,CSNK1G1,Casein kinase I isoform gamma-1,KC1G1_HUMAN,4,2458.18918410065,25.5818918410065,Hek293_XO44,Hek293_control,"nucleus,cytoplasm,cytosol","protein serine/threonine kinase activity,protein binding,ATP binding","endocytosis,regulation of cell shape,Wnt signaling pathway,peptidyl-serine phosphorylation"
107,CK1,Hek293_XO44 / Hek293_control,Q99986,Q99986,3.91450279256475,3.91450279256475,0.0097990515063206,0.0057931024277078,6,Q99986,VRK1,Serine/threonine-protein kinase VRK1,VRK1_HUMAN,15,1407.93547614221,15.0793547614221,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,nucleolus,Golgi stack,spindle,cytosol,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase binding,nucleosomal histone binding,histone kinase activity (H3-S10 specific),histone kinase activity (H3-T3 specific)","protein phosphorylation,mitotic nuclear envelope disassembly,mitotic nuclear envelope reassembly,regulation of cell shape,histone H3-S10 phosphorylation,protein autophosphorylation,cell division,histone H3-T3 phosphorylation,Golgi disassembly,Wnt signaling pathway,peptidyl-serine phosphorylation,endocytosis"
108,CK1,Hek293_XO44 / Hek293_control,P49674,P49674,6.41796529062754,6.41796529062754,0.0071323986283319,0.00523754667107,6,P49674,CSNK1E,Casein kinase I isoform epsilon,KC1E_HUMAN,15,8450.66838122531,85.5066838122531,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,cytosol","RNA binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding","G2/M transition of mitotic cell cycle,DNA repair,rRNA processing,protein phosphorylation,endocytosis,signal transduction,regulation of cell shape,regulation of G2/M transition of mitotic cell cycle,Wnt signaling pathway,peptidyl-serine phosphorylation,negative regulation of protein binding,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,circadian regulation of gene expression,regulation of circadian rhythm,ciliary basal body docking,regulation of cellular protein localization,positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation,positive regulation of non-canonical Wnt signaling pathway"
109,CK1,Hek293_XO44 / Hek293_control,Q86Y07,Q86Y07,5.22700726531899,5.22700726531899,0.0308277526538432,0.0092740306220931,6,Q86Y07,VRK2,Serine/threonine-protein kinase VRK2,VRK2_HUMAN,13,3645.29451373233,37.4529451373233,Hek293_XO44,Hek293_control,"nucleus,cytoplasm,endoplasmic reticulum,endoplasmic reticulum membrane,integral component of membrane,mitochondrial membrane","protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase binding,protein domain specific binding","protein phosphorylation,regulation of cell shape,viral process,peptidyl-serine phosphorylation,cellular response to oxidative stress,regulation of MAPK cascade,protein autophosphorylation,regulation of interleukin-1-mediated signaling pathway,endocytosis,Wnt signaling pathway"
110,CMGC,Hek293_XO44 / Hek293_control,O76039,O76039,4.85309240928272,4.85309240928272,0.0019583922037152,0.0047311994912661,6,O76039,CDKL5,Cyclin-dependent kinase-like 5,CDKL5_HUMAN,16,2790.18995256968,28.9018995256968,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytosol,dendrite cytoplasm,dendritic growth cone,synapse,perinuclear region of cytoplasm,ruffle membrane","protein kinase activity,protein serine/threonine kinase activity,ATP binding,kinase activity,Rac GTPase binding,cyclin-dependent protein serine/threonine kinase activity","neuron migration,protein phosphorylation,positive regulation of GTPase activity,positive regulation of axon extension,protein autophosphorylation,regulation of dendrite development,positive regulation of dendrite morphogenesis,positive regulation of dendritic spine development"
111,CMGC,Hek293_XO44 / Hek293_control,O15264,O15264,5.89210479385253,5.89210479385253,0.0056058618469522,0.0049395880477093,6,O15264,MAPK13,Mitogen-activated protein kinase 13,MK13_HUMAN,17,5838.82161528107,59.3882161528107,Hek293_XO44,Hek293_control,"nucleus,cytoplasm,cytosol","protein serine/threonine kinase activity,MAP kinase activity,protein binding,ATP binding","transcription, DNA-templated,regulation of transcription, DNA-templated,response to osmotic stress,cell cycle,regulation of gene expression,peptidyl-serine phosphorylation,positive regulation of interleukin-6 production,cellular response to UV,vascular endothelial growth factor receptor signaling pathway,positive regulation of inflammatory response,stress-activated MAPK cascade,cellular response to hydrogen peroxide,cellular response to interleukin-1,cellular response to sorbitol,cellular response to anisomycin,cellular response to sodium arsenite,cellular response to organic substance,intracellular signal transduction"
112,CMGC,Hek293_XO44 / Hek293_control,O94921,O94921,5.45408792872061,5.45408792872061,1.83181946305877E-07,0.0001004569793541,6,O94921,CDK14,Cyclin-dependent kinase 14,CDK14_HUMAN,15,4283.73270549345,43.8373270549346,Hek293_XO44,Hek293_control,"cytoplasmic cyclin-dependent protein kinase holoenzyme complex,nucleus,cytoplasm,cytosol,plasma membrane","cyclin-dependent protein serine/threonine kinase activity,protein binding,ATP binding,cyclin binding","G2/M transition of mitotic cell cycle,protein phosphorylation,Wnt signaling pathway,cell division,regulation of cell cycle,regulation of canonical Wnt signaling pathway"
113,CMGC,Hek293_XO44 / Hek293_control,P49759,P49759,5.83502956120924,5.83502956120924,0.001121205962512,0.0043479589520872,6,P49759,CLK1,Dual specificity protein kinase CLK1,CLK1_HUMAN,10,5608.4594909599,57.084594909599,Hek293_XO44,Hek293_control,"nucleus,cytoplasm","protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,non-membrane spanning protein tyrosine kinase activity,protein binding,ATP binding","cell proliferation,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,peptidyl-tyrosine phosphorylation,regulation of RNA splicing,protein autophosphorylation"
114,CMGC,Hek293_XO44 / Hek293_control,Q15759,Q15759,5.46575733153304,5.46575733153304,0.0287836276888187,0.0088616385855841,6,Q15759,MAPK11,Mitogen-activated protein kinase 11,MK11_HUMAN,7,4319.33481748644,44.1933481748644,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,cytosol","protein serine/threonine kinase activity,MAP kinase activity,protein binding,ATP binding","activation of MAPK activity,transcription, DNA-templated,Ras protein signal transduction,positive regulation of gene expression,vascular endothelial growth factor receptor signaling pathway,regulation of sequence-specific DNA binding transcription factor activity,positive regulation of muscle cell differentiation,stress-activated MAPK cascade,negative regulation of cardiac muscle cell proliferation,cellular response to interleukin-1,cellular response to virus,regulation of signal transduction by p53 class mediator,positive regulation of interleukin-12 secretion,positive regulation of erythrocyte differentiation,regulation of gene expression,cellular response to organic substance,intracellular signal transduction"
115,CMGC,Hek293_XO44 / Hek293_control,Q07002,Q07002,5.47595527615282,5.47595527615282,0.0048247684865464,0.0048473930979644,6,Q07002,CDK18,Cyclin-dependent kinase 18,CDK18_HUMAN,18,4350.68433519068,44.5068433519068,Hek293_XO44,Hek293_control,"cellular_component,nucleus,cytoplasm","protein binding,ATP binding,cyclin-dependent protein serine/threonine kinase activity,protein serine/threonine kinase activity",protein phosphorylation
116,CMGC,Hek293_XO44 / Hek293_control,P78362,P78362,4.72301825497703,4.72301825497703,0.0032385723055458,0.0047730276111831,6,P78362,SRPK2,SRSF protein kinase 2,SRPK2_HUMAN,14,2541.01072475685,26.4101072475685,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol","magnesium ion binding,RNA binding,protein serine/threonine kinase activity,protein binding,ATP binding,14-3-3 protein binding","spliceosomal complex assembly,angiogenesis,protein phosphorylation,positive regulation of cell proliferation,RNA splicing,positive regulation of gene expression,cell differentiation,nuclear speck organization,intracellular signal transduction,positive regulation of neuron apoptotic process,positive regulation of viral genome replication,negative regulation of viral genome replication,innate immune response,positive regulation of cell cycle,regulation of mRNA splicing, via spliceosome,regulation of gene expression,regulation of mRNA processing"
117,CMGC,Hek293_XO44 / Hek293_control,Q9H2X6,Q9H2X6,5.52629235717742,5.52629235717742,0.007066090330274,0.0052271276130247,6,Q9H2X6,HIPK2,Homeodomain-interacting protein kinase 2,HIPK2_HUMAN,14,4508.71406464362,46.0871406464362,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,nuclear body,RNA polymerase II transcription factor complex,PML body","RNA polymerase II activating transcription factor binding,transcription corepressor activity,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,SMAD binding,virion binding,RNA polymerase II transcription coactivator activity","negative regulation of transcription from RNA polymerase II promoter,eye development,transcription from RNA polymerase II promoter,protein phosphorylation,DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,transforming growth factor beta receptor signaling pathway,smoothened signaling pathway,adult walking behavior,positive regulation of cell proliferation,anterior/posterior pattern specification,retina layer formation,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,modulation by virus of host morphology or physiology,neuron differentiation,erythrocyte differentiation,positive regulation of transforming growth factor beta receptor signaling pathway,negative regulation of BMP signaling pathway,PML body organization,positive regulation of protein binding,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,positive regulation of DNA binding,negative regulation of neuron apoptotic process,positive regulation of angiogenesis,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,positive regulation of JNK cascade,embryonic camera-type eye morphogenesis,voluntary musculoskeletal movement,positive regulation of sequence-specific DNA binding transcription factor activity,regulation of cell cycle,embryonic retina morphogenesis in camera-type eye,lens induction in camera-type eye,SMAD protein signal transduction,iris morphogenesis,cellular response to hypoxia,intrinsic apoptotic signaling pathway,regulation of signal transduction by p53 class mediator,negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process"
118,CMGC,Hek293_XO44 / Hek293_control,Q9H422,Q9H422,3.64402147060788,3.64402147060788,0.0041393330636265,0.0048000942400025,6,Q9H422,HIPK3,Homeodomain-interacting protein kinase 3,HIPK3_HUMAN,10,1150.14321313275,12.5014321313275,Hek293_XO44,Hek293_control,"cytosol,nuclear body,PML body","protein kinase activity,protein serine/threonine kinase activity,ATP binding","regulation of transcription, DNA-templated,protein phosphorylation,apoptotic process,mRNA transcription,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,negative regulation of apoptotic process,negative regulation of JUN kinase activity"
119,CMGC,Hek293_XO44 / Hek293_control,Q92630,Q92630,4.71973112676679,4.71973112676679,0.0087062888951885,0.0055836894762312,6,Q92630,DYRK2,Dual specificity tyrosine-phosphorylation-regulated kinase 2,DYRK2_HUMAN,8,2535.00012788195,26.3500012788195,Hek293_XO44,Hek293_control,"ubiquitin ligase complex,nucleus,nucleoplasm,cytoplasm,cytosol,intracellular ribonucleoprotein complex","magnesium ion binding,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,protein tyrosine kinase activity,protein binding,ATP binding,manganese ion binding","protein phosphorylation,cellular response to DNA damage stimulus,smoothened signaling pathway,peptidyl-tyrosine phosphorylation,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,positive regulation of glycogen biosynthetic process,negative regulation of NFAT protein import into nucleus,regulation of signal transduction by p53 class mediator"
120,CMGC,Hek293_XO44 / Hek293_control,Q00532,Q00532,3.69832008575334,3.69832008575334,0.0207883040326492,0.007407285323251,5,Q00532,CDKL1,Cyclin-dependent kinase-like 1,CDKL1_HUMAN,4,1198.09142002518,12.9809142002518,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,intracellular membrane-bounded organelle,extracellular exosome","cyclin-dependent protein serine/threonine kinase activity,ATP binding","protein phosphorylation,heart development,regulation of cell cycle"
121,CMGC,Hek293_XO44 / Hek293_control,Q9UBE8,Q9UBE8,5.76711479630392,5.76711479630392,0.0037740397449935,0.004779174928834,6,Q9UBE8,NLK,Serine/threonine-protein kinase NLK,NLK_HUMAN,6,5345.96119073326,54.4596119073326,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,cytosol","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,MAP kinase activity,protein binding,ATP binding,transcription factor binding,ubiquitin protein ligase binding,SH2 domain binding","MAPK cascade,transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,transforming growth factor beta receptor signaling pathway,Wnt signaling pathway, calcium modulating pathway,regulation of gene expression,peptidyl-threonine phosphorylation,negative regulation of Wnt signaling pathway,intracellular signal transduction,serine phosphorylation of STAT protein,protein autophosphorylation,protein stabilization"
122,CMGC,Hek293_XO44 / Hek293_control,P19784,P19784,5.11800060388263,5.11800060388263,0.0074415417105314,0.0052980891562083,6,P19784,CSNK2A2,Casein kinase II subunit alpha',CSK22_HUMAN,17,3372.73544363749,34.7273544363749,Hek293_XO44,Hek293_control,"chromatin,acrosomal vesicle,nucleus,nucleoplasm,cytosol,plasma membrane,PcG protein complex","protein serine/threonine kinase activity,protein binding,ATP binding,protein N-terminus binding","transcription, DNA-templated,regulation of transcription, DNA-templated,protein folding,protein phosphorylation,phosphatidylcholine biosynthetic process,apoptotic process,cell cycle,spermatogenesis,Wnt signaling pathway,macroautophagy,cerebral cortex development,liver regeneration,regulation of signal transduction by p53 class mediator,regulation of mitophagy,positive regulation of protein targeting to mitochondrion,Requires Ontology"
123,CMGC,Hek293_XO44 / Hek293_control,Q13523,Q13523,2.15243881771011,2.15243881771011,0.0053906328647628,0.0048947328629,6,Q13523,PRPF4B,Serine/threonine-protein kinase PRP4 homolog,PRP4B_HUMAN,40,344.578696292789,4.44578696292789,Hek293_XO44,Hek293_control,"chromosome,nuclear speck,catalytic step 2 spliceosome,nucleus","RNA binding,protein kinase activity,protein binding,ATP binding,cyclin-dependent protein serine/threonine kinase activity","mRNA splicing, via spliceosome,protein phosphorylation,RNA splicing"
124,CMGC,Hek293_XO44 / Hek293_control,P49336,P49336,5.1242429683031,5.1242429683031,0.0065234377111854,0.0050974637925561,6,P49336,CDK8,Cyclin-dependent kinase 8,CDK8_HUMAN,11,3387.79409877348,34.8779409877348,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,nucleolus,mediator complex","protein kinase activity,protein serine/threonine kinase activity,cyclin-dependent protein serine/threonine kinase activity,protein binding,ATP binding,RNA polymerase II carboxy-terminal domain kinase activity","transcription initiation from RNA polymerase II promoter,protein phosphorylation,regulation of mitotic cell cycle,positive regulation of transcription from RNA polymerase II promoter"
125,CMGC,Hek293_XO44 / Hek293_control,Q92772,Q92772,4.40347952755035,4.40347952755035,0.0087931477590282,0.0056028221119881,6,Q92772,CDKL2,Cyclin-dependent kinase-like 2,CDKL2_HUMAN,6,2016.31067738823,21.1631067738823,Hek293_XO44,Hek293_control,"nucleus,cytoplasm,centrosome","protein kinase activity,cyclin-dependent protein serine/threonine kinase activity,ATP binding","protein phosphorylation,signal transduction,sex differentiation,regulation of cell cycle,positive regulation of protein targeting to mitochondrion"
126,CMGC,Hek293_XO44 / Hek293_control,Q9BWU1,Q9BWU1,4.56632774574093,4.56632774574093,0.0022357133168279,0.0047730276111831,6,Q9BWU1,CDK19,Cyclin-dependent kinase 19,CDK19_HUMAN,4,2269.19944100689,23.6919944100689,Hek293_XO44,Hek293_control,"nucleus,cytosol,mediator complex","cyclin-dependent protein serine/threonine kinase activity,ATP binding,enzyme binding","protein phosphorylation,regulation of mitotic cell cycle,positive regulation of apoptotic process,positive regulation of inflammatory response,cellular response to lipopolysaccharide"
127,CMGC,Hek293_XO44 / Hek293_control,Q96SB4,Q96SB4,4.07938582976437,4.07938582976437,0.0037136006619501,0.004776387277119,6,Q96SB4,SRPK1,SRSF protein kinase 1,SRPK1_HUMAN,22,1590.50904446548,16.9050904446548,Hek293_XO44,Hek293_control,"nucleus,cytoplasm,endoplasmic reticulum,cytosol,plasma membrane,nuclear matrix","magnesium ion binding,RNA binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding","spliceosomal complex assembly,protein phosphorylation,chromosome segregation,RNA splicing,viral process,sperm chromatin condensation,intracellular signal transduction,positive regulation of viral genome replication,negative regulation of viral genome replication,innate immune response,regulation of mRNA splicing, via spliceosome,regulation of mRNA processing,regulation of gene expression"
128,CMGC,Hek293_XO44 / Hek293_control,Q86Z02,Q86Z02,4.96931116121854,4.96931116121854,0.0105996315824416,0.0059462693793062,6,Q86Z02,HIPK1,Homeodomain-interacting protein kinase 1,HIPK1_HUMAN,20,3032.64885975384,31.3264885975384,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,PML body,nuclear speck","protein serine/threonine kinase activity,protein binding,ATP binding","eye development,transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,smoothened signaling pathway,positive regulation of cell proliferation,anterior/posterior pattern specification,regulation of tumor necrosis factor-mediated signaling pathway,retina layer formation,neuron differentiation,adherens junction assembly,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,positive regulation of angiogenesis,embryonic camera-type eye morphogenesis,embryonic retina morphogenesis in camera-type eye,definitive hemopoiesis,lens induction in camera-type eye,iris morphogenesis,endothelial cell apoptotic process,extrinsic apoptotic signaling pathway,regulation of signal transduction by p53 class mediator"
129,CMGC,Hek293_XO44 / Hek293_control,P55263,P55263,3.95145337389361,3.95145337389361,0.0099736929537165,0.0058192517130057,6,P55263,ADK,Adenosine kinase,ADK_HUMAN,17,1447.05584870352,15.4705584870352,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytosol,cytoplasm","RNA binding,adenosine kinase activity,ATP binding,metal ion binding,carbohydrate kinase activity","adenosine salvage,dATP biosynthetic process,ribonucleoside monophosphate biosynthetic process,purine-containing compound salvage,AMP salvage,carbohydrate phosphorylation"
130,CMGC,Hek293_XO44 / Hek293_control,Q00534,Q00534,5.64068602753816,5.64068602753816,0.0050874010676366,0.0048562227193916,6,Q00534,CDK6,Cyclin-dependent kinase 6,CDK6_HUMAN,16,4889.02511737834,49.8902511737834,Hek293_XO44,Hek293_control,"cyclin-dependent protein kinase holoenzyme complex,ruffle,nucleus,nucleoplasm,cytoplasm,centrosome,cytosol","cyclin-dependent protein serine/threonine kinase activity,protein binding,ATP binding,cyclin binding,FBXO family protein binding","G1/S transition of mitotic cell cycle,positive regulation of cell-matrix adhesion,type B pancreatic cell development,protein phosphorylation,cell cycle arrest,signal transduction,negative regulation of cell proliferation,response to virus,regulation of G2/M transition of mitotic cell cycle,regulation of gene expression,astrocyte development,dentate gyrus development,lateral ventricle development,negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle,gliogenesis,cell dedifferentiation,negative regulation of cell differentiation,negative regulation of myeloid cell differentiation,regulation of erythrocyte differentiation,negative regulation of monocyte differentiation,negative regulation of osteoblast differentiation,negative regulation of cell cycle,positive regulation of fibroblast proliferation,generation of neurons,negative regulation of epithelial cell proliferation,cell division,regulation of cell motility,negative regulation of cellular senescence"
131,CMGC,Hek293_XO44 / Hek293_control,P68400,P68400,4.63601677582264,4.63601677582264,0.0036855144488323,0.004776387277119,6,P68400,CSNK2A1,Casein kinase II subunit alpha,CSK21_HUMAN,18,2386.4521726906,24.864521726906,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytosol,plasma membrane,protein kinase CK2 complex,Sin3 complex,NuRD complex,PcG protein complex","protein serine/threonine kinase activity,protein binding,ATP binding,kinase activity,identical protein binding,ribonucleoprotein complex binding,protein N-terminus binding,Hsp90 protein binding","transcription, DNA-templated,regulation of transcription, DNA-templated,protein folding,protein phosphorylation,phosphatidylcholine biosynthetic process,apoptotic process,cell cycle,signal transduction,positive regulation of cell proliferation,Wnt signaling pathway,macroautophagy,peptidyl-threonine phosphorylation,cerebral cortex development,positive regulation of Wnt signaling pathway,positive regulation of cell growth,response to testosterone,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of protein catabolic process,rhythmic process,chaperone-mediated protein folding,liver regeneration,regulation of signal transduction by p53 class mediator,regulation of protein localization to plasma membrane,Requires Ontology"
