Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,GO Cellular Component,GO Molecular Function,GO Biological Process,Kinase Classification
XO44 / control,Q96Q15,Q96Q15,7.42770024479184,7.42770024479184,9.86448452887743E-06,6.34399409728253E-07,12,Q96Q15,SMG1,Serine/threonine-protein kinase SMG1,SMG1_HUMAN,82,17117.1226187657,172.171226187657,XO44,"nucleus,nucleoplasm,cytoplasm,cytosol","RNA binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,telomeric DNA binding,metal ion binding,kinase activity","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,DNA repair,mRNA export from nucleus,peptidyl-serine phosphorylation,regulation of telomere maintenance,protein autophosphorylation,phosphatidylinositol phosphorylation,regulation of response to DNA damage stimulus",Atypical
XO44 / control,Q96QP1,Q96QP1,5.37838996001881,5.37838996001881,0.000321268938223986,9.76273865956738E-06,12,Q96QP1,ALPK1,Alpha-protein kinase 1,ALPK1_HUMAN,8,4059.64919979423,41.5964919979423,XO44,cytoplasm,"protein serine/threonine kinase activity,ATP binding",protein phosphorylation,Atypical
XO44 / control,P78527,P78527,6.7980939979299,6.7980939979299,7.01462382417903E-06,5.11946766927259E-07,12,P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,PRKDC_HUMAN,207,11028.3354055497,111.283354055497,XO44,"nuclear chromosome, telomeric region,nucleus,nucleoplasm,transcription factor complex,nucleolus,cytosol,DNA-dependent protein kinase-DNA ligase 4 complex,membrane,macromolecular complex,protein-DNA complex,nonhomologous end joining complex","double-stranded DNA binding,RNA binding,protein kinase activity,protein serine/threonine kinase activity,DNA-dependent protein kinase activity,protein binding,ATP binding,transcription factor binding,enzyme binding,protein domain specific binding,kinase activity","somitogenesis,negative regulation of protein phosphorylation,activation of innate immune response,B cell lineage commitment,pro-B cell differentiation,T cell lineage commitment,negative regulation of immunoglobulin production,double-strand break repair,double-strand break repair via nonhomologous end joining,cellular protein modification process,protein phosphorylation,brain development,heart development,cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage,response to gamma radiation,response to activity,telomere capping,protein ubiquitination,peptidyl-serine phosphorylation,protein destabilization,positive regulation of type I interferon production,cellular response to insulin stimulus,T cell differentiation in thymus,immunoglobulin V(D)J recombination,T cell receptor V(D)J recombination,ectopic germ cell programmed cell death,regulation of circadian rhythm,positive regulation of apoptotic process,negative regulation of apoptotic process,innate immune response,positive regulation of transcription from RNA polymerase II promoter,positive regulation of fibroblast proliferation,rhythmic process,spleen development,thymus development,positive regulation of developmental growth,regulation of smooth muscle cell proliferation,signal transduction involved in mitotic G1 DNA damage checkpoint,double-strand break repair via alternative nonhomologous end joining,negative regulation of cellular senescence,negative regulation of response to gamma radiation,DNA repair",Atypical
XO44 / control,Q13535,Q13535,6.79878015766123,6.79878015766123,7.10606138731875E-06,5.15838044596922E-07,12,Q13535,ATR,Serine/threonine-protein kinase ATR,ATR_HUMAN,54,11033.629408466,111.33629408466,XO44,"nucleoplasm,chromosome,Golgi apparatus,PML body,nuclear chromosome, telomeric region,nucleus","DNA binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,MutLalpha complex binding,MutSalpha complex binding,kinase activity","DNA damage checkpoint,DNA replication,DNA repair,cellular response to DNA damage stimulus,multicellular organism development,negative regulation of DNA replication,peptidyl-serine phosphorylation,positive regulation of telomere maintenance via telomerase,cellular response to UV,interstrand cross-link repair,response to drug,positive regulation of DNA damage response, signal transduction by p53 class mediator,protein autophosphorylation,protein localization to chromosome, telomeric region,cellular response to gamma radiation,replicative senescence,establishment of RNA localization to telomere,establishment of macromolecular complex localization to telomere,regulation of cellular response to heat,regulation of signal transduction by p53 class mediator,positive regulation of telomerase catalytic core complex assembly",Atypical
XO44 / control,Q9BRS2,Q9BRS2,8.1916689822823,8.1916689822823,5.88162219579061E-06,4.58204552169355E-07,12,Q9BRS2,RIOK1,Serine/threonine-protein kinase RIO1,RIOK1_HUMAN,19,29137.3548140985,292.373548140985,XO44,"nucleoplasm,cytosol,preribosome, small subunit precursor","protein serine/threonine kinase activity,protein binding,ATP binding,hydrolase activity,metal ion binding","rRNA processing,protein phosphorylation,maturation of SSU-rRNA,ribosomal small subunit biogenesis,positive regulation of rRNA processing",Atypical
XO44 / control,Q96D53,Q96D53,8.00607406247433,8.00607406247433,2.09165524795543E-05,1.03500871752277E-06,12,Q96D53,COQ8B,"Atypical kinase COQ8B, mitochondrial",COQ8B_HUMAN,17,25608.0088244037,257.080088244037,XO44,"mitochondrion,cytosol,plasma membrane,integral component of membrane,mitochondrial membrane,extrinsic component of mitochondrial inner membrane","ATP binding,protein kinase activity,kinase activity","ubiquinone biosynthetic process,cerebellar Purkinje cell layer morphogenesis,protein phosphorylation",Atypical
XO44 / control,O14730,O14730,7.81194423177049,7.81194423177049,0.0016194250529227,4.4067032349371E-05,12,O14730,RIOK3,Serine/threonine-protein kinase RIO3,RIOK3_HUMAN,6,22371.3693579503,224.713693579503,XO44,"cytosol,preribosome, small subunit precursor","protein serine/threonine kinase activity,protein binding,ATP binding,metal ion binding,caspase binding","rRNA processing,protein phosphorylation,chromosome segregation,maturation of SSU-rRNA,negative regulation of protein homooligomerization,positive regulation of interferon-beta production,negative regulation of MDA-5 signaling pathway,negative regulation of I-kappaB kinase/NF-kappaB signaling,innate immune response,positive regulation of innate immune response,defense response to virus,cellular response to dsRNA,cellular response to virus,cellular response to dsDNA",Atypical
XO44 / control,Q9UIG0,Q9UIG0,7.89219381739575,7.89219381739575,0.000110875914369396,3.8385268304001E-06,12,Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B,BAZ1B_HUMAN,32,23656.7523599873,237.567523599873,XO44,"condensed chromosome,nucleoplasm,pericentric heterochromatin,nuclear body,nuclear replication fork","protein tyrosine kinase activity,non-membrane spanning protein tyrosine kinase activity,protein binding,ATP binding,zinc ion binding,histone kinase activity,histone binding","chromatin assembly or disassembly,chromatin remodeling,transcription, DNA-templated,regulation of transcription, DNA-templated,cellular response to DNA damage stimulus,histone phosphorylation,peptidyl-tyrosine phosphorylation,positive regulation of gene expression, epigenetic",Atypical
XO44 / control,Q15118,Q15118,8.39258107946975,8.39258107946975,5.46116421244473E-05,2.1360873989392E-06,12,Q15118,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",PDK1_HUMAN,11,33506.1410583021,336.061410583021,XO44,"nucleus,nucleolus,mitochondrion,mitochondrial matrix,mitochondrial pyruvate dehydrogenase complex","protein kinase activity,pyruvate dehydrogenase (acetyl-transferring) kinase activity,protein binding,ATP binding","glucose metabolic process,protein phosphorylation,cell proliferation,intrinsic apoptotic signaling pathway in response to oxidative stress,regulation of acetyl-CoA biosynthetic process from pyruvate,regulation of glucose metabolic process,hypoxia-inducible factor-1alpha signaling pathway",Atypical
XO44 / control,Q15119,Q15119,8.06637098703509,8.06637098703509,0.000826450678672203,2.33123342453115E-05,11,Q15119,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",PDK2_HUMAN,4,26705.235261558,268.05235261558,XO44,"nucleoplasm,mitochondrion,mitochondrial matrix,cytosol,mitochondrial pyruvate dehydrogenase complex","protein kinase activity,pyruvate dehydrogenase (acetyl-transferring) kinase activity,ATP binding,protein homodimerization activity","glucose metabolic process,regulation of gluconeogenesis,protein phosphorylation,regulation of pH,insulin receptor signaling pathway,regulation of acetyl-CoA biosynthetic process from pyruvate,regulation of cellular ketone metabolic process,regulation of glucose metabolic process,cellular response to nutrient,cellular response to reactive oxygen species,glucose homeostasis,intrinsic apoptotic signaling pathway by p53 class mediator",Atypical
XO44 / control,O15075,O15075,8.25303244572169,8.25303244572169,1.59493512566498E-06,1.75583575399252E-07,12,O15075,DCLK1,Serine/threonine-protein kinase DCLK1,DCLK1_HUMAN,18,30407.7600105461,305.077600105461,XO44,"intracellular,integral component of plasma membrane,postsynaptic density","protein kinase activity,protein serine/threonine kinase activity,receptor signaling protein activity,ATP binding","neuron migration,protein phosphorylation,nervous system development,central nervous system development,response to virus,endosomal transport,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,central nervous system projection neuron axonogenesis,forebrain development,intracellular signal transduction,axon extension,neuron projection morphogenesis,dendrite morphogenesis,negative regulation of protein localization to nucleus",CAMK
XO44 / control,Q9BZL6,Q9BZL6,8.24181475289676,8.24181475289676,7.25885105390482E-05,2.69089415199003E-06,12,Q9BZL6,PRKD2,Serine/threonine-protein kinase D2,KPCD2_HUMAN,16,30171.4663942329,302.714663942329,XO44,"nucleus,nucleoplasm,cytoplasm,Golgi apparatus,cytosol,plasma membrane","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein kinase C binding,protein binding,ATP binding,metal ion binding","angiogenesis,positive regulation of endothelial cell proliferation,adaptive immune response,protein phosphorylation,cell adhesion,cell death,positive regulation of endothelial cell migration,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,sphingolipid biosynthetic process,positive regulation of vascular endothelial growth factor receptor signaling pathway,positive regulation of interleukin-2 production,positive regulation of interleukin-8 production,positive regulation of CREB transcription factor activity,positive regulation of peptidyl-serine phosphorylation,intracellular signal transduction,cellular response to vascular endothelial growth factor stimulus,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway,positive regulation of blood vessel endothelial cell migration,positive regulation of fibroblast growth factor receptor signaling pathway,positive regulation of angiogenesis,positive regulation of cell adhesion,positive regulation of transcription from RNA polymerase II promoter,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,T cell receptor signaling pathway,positive regulation of T cell receptor signaling pathway,positive regulation of sequence-specific DNA binding transcription factor activity,positive regulation of NF-kappaB transcription factor activity,endothelial tube morphogenesis,positive regulation of ERK1 and ERK2 cascade,protein kinase D signaling,positive regulation of histone deacetylase activity,positive regulation of intracellular signal transduction,positive regulation of DNA biosynthetic process,positive regulation of endothelial cell chemotaxis",CAMK
XO44 / control,O96017,O96017,8.23322457289321,8.23322457289321,1.93278179608565E-05,9.80396563231854E-07,12,O96017,CHEK2,Serine/threonine-protein kinase Chk2,CHK2_HUMAN,22,29991.7577882331,300.917577882331,XO44,"nucleoplasm,Golgi apparatus,PML body,chromosome, telomeric region,nucleus","protein serine/threonine kinase activity,protein binding,ATP binding,kinase activity,protein kinase binding,ubiquitin protein ligase binding,identical protein binding,protein homodimerization activity,metal ion binding","DNA damage checkpoint,G2/M transition of mitotic cell cycle,replicative cell aging,positive regulation of protein phosphorylation,double-strand break repair,transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,cellular response to DNA damage stimulus,DNA damage induced protein phosphorylation,DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,intrinsic apoptotic signaling pathway in response to DNA damage,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,regulation of protein catabolic process,signal transduction in response to DNA damage,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,regulation of apoptotic process,cellular protein catabolic process,positive regulation of transcription, DNA-templated,protein autophosphorylation,protein stabilization,cell division,negative regulation of cell cycle arrest,cellular response to gamma radiation,signal transduction involved in intra-S DNA damage checkpoint,mitotic spindle assembly,replicative senescence,regulation of signal transduction by p53 class mediator,response to glycoside,cellular response to bisphenol A,negative regulation of DNA damage checkpoint,positive regulation of anoikis,mitotic DNA damage checkpoint",CAMK
XO44 / control,Q13555,Q13555,8.23681764110979,8.23681764110979,6.98636794721829E-06,5.10640028891584E-07,11,Q13555,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma,KCC2G_HUMAN,7,30066.7954692523,301.667954692523,XO44,"nucleoplasm,cytoplasm,cytosol,plasma membrane,postsynaptic density,membrane,endocytic vesicle membrane,sarcoplasmic reticulum membrane,neuron projection","protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,calcium-dependent protein serine/threonine phosphatase activity,Ras guanyl-nucleotide exchange factor activity,protein binding,calmodulin binding,ATP binding,identical protein binding,protein homodimerization activity","G1/S transition of mitotic cell cycle,MAPK cascade,protein dephosphorylation,calcium ion transport,nervous system development,regulation of skeletal muscle adaptation,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,insulin secretion,cell differentiation,intracellular signal transduction,protein autophosphorylation,protein oligomerization,regulation of calcium ion transport,interferon-gamma-mediated signaling pathway,regulation of molecular function,regulation of cellular response to heat,regulation of relaxation of cardiac muscle",CAMK
XO44 / control,P27448,P27448,8.16601927440169,8.16601927440169,1.01987976167876E-05,6.49550949661263E-07,12,P27448,MARK3,MAP/microtubule affinity-regulating kinase 3,MARK3_HUMAN,34,28622.1368266844,287.221368266844,XO44,"cytosol,plasma membrane,extracellular exosome","protein serine/threonine kinase activity,protein binding,ATP binding","MAPK cascade,microtubule cytoskeleton organization,establishment of cell polarity,negative regulation of hippo signaling",CAMK
XO44 / control,P49137,P49137,8.28541595076346,8.28541595076346,0.000275375801097361,8.49952733397244E-06,12,P49137,MAPKAPK2,MAP kinase-activated protein kinase 2,MAPK2_HUMAN,15,31100.296970146,312.00296970146,XO44,"nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,signal transducer activity,protein binding,calmodulin binding,ATP binding,calcium-dependent protein serine/threonine kinase activity,mitogen-activated protein kinase binding","MAPK cascade,activation of MAPK activity,toll-like receptor signaling pathway,protein phosphorylation,leukotriene metabolic process,inflammatory response,cellular response to DNA damage stimulus,Ras protein signal transduction,peptidyl-serine phosphorylation,response to lipopolysaccharide,regulation of interleukin-6 production,regulation of tumor necrosis factor production,response to cytokine,cellular response to vascular endothelial growth factor stimulus,p38MAPK cascade,positive regulation of tumor necrosis factor biosynthetic process,regulation of mRNA stability,macropinocytosis,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,inner ear development,3'-UTR-mediated mRNA stabilization,regulation of cellular response to heat,cell surface receptor signaling pathway,intracellular signal transduction",CAMK
XO44 / control,Q13131,Q13131,8.49068412612243,8.49068412612243,1.25201247511098E-05,7.3981383643577E-07,12,Q13131,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,AAPK1_HUMAN,16,35870.8421519176,359.708421519176,XO44,"intracellular,nucleus,nucleoplasm,cytoplasm,cytosol,apical plasma membrane,nuclear speck,nucleotide-activated protein kinase complex","chromatin binding,protein kinase activity,AMP-activated protein kinase activity,cAMP-dependent protein kinase activity,protein binding,ATP binding,protein C-terminus binding,histone serine kinase activity,metal ion binding,[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity,tau-protein kinase activity,[acetyl-CoA carboxylase] kinase activity,protein serine/threonine kinase activity","activation of MAPK activity,response to hypoxia,glucose metabolic process,transcription, DNA-templated,protein phosphorylation,fatty acid biosynthetic process,cholesterol biosynthetic process,cell cycle arrest,signal transduction,positive regulation of cell proliferation,lipid biosynthetic process,response to UV,cold acclimation,response to gamma radiation,positive regulation of autophagy,positive regulation of gene expression,response to activity,Wnt signaling pathway,macroautophagy,regulation of macroautophagy,fatty acid oxidation,response to caffeine,cellular response to nutrient levels,negative regulation of TOR signaling,regulation of peptidyl-serine phosphorylation,histone-serine phosphorylation,cellular response to glucose starvation,glucose homeostasis,regulation of circadian rhythm,negative regulation of apoptotic process,positive regulation of cholesterol biosynthetic process,positive regulation of glycolytic process,negative regulation of glucosylceramide biosynthetic process,rhythmic process,positive regulation of skeletal muscle tissue development,negative regulation of lipid catabolic process,protein heterooligomerization,fatty acid homeostasis,regulation of vesicle-mediated transport,CAMKK-AMPK signaling cascade,cellular response to hydrogen peroxide,cellular response to ethanol,cellular response to prostaglandin E stimulus,cellular response to organonitrogen compound,cellular response to hypoxia,response to camptothecin,regulation of signal transduction by p53 class mediator,positive regulation of transcription from mitochondrial promoter,positive regulation of protein targeting to mitochondrion,regulation of energy homeostasis,negative regulation of glucose import in response to insulin stimulus,intracellular signal transduction",CAMK
XO44 / control,Q8IWQ3,Q8IWQ3,8.47503662433623,8.47503662433623,6.55071001016983E-05,2.47310414748584E-06,12,Q8IWQ3,BRSK2,Serine/threonine-protein kinase BRSK2,BRSK2_HUMAN,12,35482.8097236771,355.828097236771,XO44,"nucleus,cytoplasm,endoplasmic reticulum,centrosome,perinuclear region of cytoplasm","magnesium ion binding,protein serine/threonine kinase activity,ATP binding,protein kinase binding,tau-protein kinase activity,ATPase binding,ATPase regulator activity","G2/M transition of mitotic cell cycle,protein phosphorylation,exocytosis,axonogenesis,peptidyl-serine phosphorylation,establishment of cell polarity,neuron differentiation,actin cytoskeleton reorganization,ERAD pathway,regulation of ATPase activity,cell division,regulation of insulin secretion involved in cellular response to glucose stimulus,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,regulation of retrograde protein transport, ER to cytosol,intracellular signal transduction",CAMK
XO44 / control,O43293,O43293,8.12280416993799,8.12280416993799,1.440435735732E-05,8.09294904440216E-07,12,O43293,DAPK3,Death-associated protein kinase 3,DAPK3_HUMAN,8,27774.5396721139,278.745396721139,XO44,"nucleus,cytoplasm,actin filament,PML body,membrane raft","protein serine/threonine kinase activity,protein binding,ATP binding,protein C-terminus binding,cAMP response element binding protein binding,Rho GTPase binding,identical protein binding,protein homodimerization activity,leucine zipper domain binding","chromatin organization,transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,apoptotic process,regulation of smooth muscle contraction,regulation of mitotic nuclear division,regulation of mitotic cell cycle,regulation of cell shape,regulation of autophagy,negative regulation of translation,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,neuron differentiation,positive regulation of cell migration,intracellular signal transduction,regulation of apoptotic process,positive regulation of apoptotic process,regulation of myosin II filament organization,protein autophosphorylation,regulation of focal adhesion assembly,cellular response to interferon-gamma,positive regulation of canonical Wnt signaling pathway,apoptotic signaling pathway,regulation of cell motility,regulation of actin cytoskeleton reorganization,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand",CAMK
XO44 / control,Q8N2I9,Q8N2I9,4.31967377972234,4.31967377972234,0.181325887824333,0.00441713956674309,6,Q8N2I9,STK40,Serine/threonine-protein kinase 40,STK40_HUMAN,3,1896.87729595918,19.9687729595918,XO44,"nucleoplasm,cytosol","protein serine/threonine kinase activity,protein binding,ATP binding","respiratory system process,glycogen metabolic process,protein phosphorylation,regulation of gene expression,multicellular organism growth,negative regulation of apoptotic process,regulation of MAPK cascade,lung alveolus development,lung morphogenesis",CAMK
XO44 / control,Q15139,Q15139,8.3976108966798,8.3976108966798,3.91331170634093E-05,1.63887415689457E-06,12,Q15139,PRKD1,Serine/threonine-protein kinase D1,KPCD1_HUMAN,8,33623.5101091272,337.235101091272,XO44,"autophagosome membrane,Golgi apparatus,trans-Golgi network,cytosol,plasma membrane,integral component of plasma membrane","protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,kinase activity,identical protein binding,metal ion binding","angiogenesis,positive regulation of endothelial cell proliferation,protein phosphorylation,apoptotic process,inflammatory response,Golgi organization,signal transduction,integrin-mediated signaling pathway,Ras protein signal transduction,cell proliferation,positive regulation of autophagy,positive regulation of endothelial cell migration,regulation of keratinocyte proliferation,positive regulation of neuron projection development,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,sphingolipid biosynthetic process,regulation of protein stability,positive regulation of CREB transcription factor activity,positive regulation of peptidyl-serine phosphorylation,cellular response to amino acid starvation,cellular response to oxidative stress,intracellular signal transduction,cellular response to vascular endothelial growth factor stimulus,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway,positive regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of blood vessel endothelial cell migration,positive regulation of phosphatidylinositol 3-kinase activity,innate immune response,positive regulation of osteoblast differentiation,positive regulation of angiogenesis,negative regulation of endocytosis,positive regulation of transcription from RNA polymerase II promoter,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,Golgi vesicle transport,positive regulation of NF-kappaB transcription factor activity,negative regulation of cell death,cellular response to hydroperoxide,protein kinase D signaling,positive regulation of histone deacetylase activity,positive regulation of endothelial cell chemotaxis,regulation of integrin-mediated signaling pathway",CAMK
XO44 / control,Q13557,Q13557,8.28129523325328,8.28129523325328,1.40319723082319E-05,7.95491565918531E-07,12,Q13557,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,KCC2D_HUMAN,12,31011.3078424383,311.113078424383,XO44,"nucleus,nucleoplasm,cytoplasm,cytosol,plasma membrane,membrane,endocytic vesicle membrane,sarcoplasmic reticulum membrane,sarcolemma,neuron projection,calcium channel complex","protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,Ras guanyl-nucleotide exchange factor activity,protein binding,calmodulin binding,ATP binding,sodium channel inhibitor activity,titin binding,identical protein binding,protein homodimerization activity,ion channel binding","MAPK cascade,regulation of cell growth,regulation of the force of heart contraction,regulation of membrane depolarization,regulation of transcription from RNA polymerase II promoter,protein phosphorylation,nervous system development,regulation of heart contraction,positive regulation of cardiac muscle hypertrophy,regulation of cell communication by electrical coupling,positive regulation of cardiac muscle cell apoptotic process,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,cell differentiation,endoplasmic reticulum calcium ion homeostasis,protein autophosphorylation,protein oligomerization,relaxation of cardiac muscle,regulation of ryanodine-sensitive calcium-release channel activity,interferon-gamma-mediated signaling pathway,regulation of cellular localization,cellular response to calcium ion,cardiac muscle cell contraction,regulation of heart rate by cardiac conduction,regulation of cardiac muscle cell action potential,regulation of cardiac muscle cell action potential involved in regulation of contraction,regulation of cellular response to heat,regulation of histone deacetylase activity,regulation of cell communication by electrical coupling involved in cardiac conduction,regulation of relaxation of cardiac muscle,negative regulation of sodium ion transmembrane transport,regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,negative regulation of sodium ion transmembrane transporter activity",CAMK
XO44 / control,O14757,O14757,8.38042521800834,8.38042521800834,3.91249698481467E-05,1.63875726481722E-06,12,O14757,CHEK1,Serine/threonine-protein kinase Chk1,CHK1_HUMAN,14,33224.1719739189,333.241719739189,XO44,"chromatin,condensed nuclear chromosome,extracellular space,nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,macromolecular complex,intracellular membrane-bounded organelle,chromosome, telomeric region","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,kinase activity,protein domain specific binding,histone kinase activity (H3-T11 specific)","DNA damage checkpoint,DNA replication,DNA repair,apoptotic process,cellular response to DNA damage stimulus,DNA damage induced protein phosphorylation,cell cycle,regulation of double-strand break repair via homologous recombination,regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage,peptidyl-threonine phosphorylation,histone H3-T11 phosphorylation,intracellular signal transduction,positive regulation of cell cycle,negative regulation of mitotic nuclear division,regulation of mitotic centrosome separation,chromatin-mediated maintenance of transcription,negative regulation of G0 to G1 transition,cellular response to mechanical stimulus,signal transduction involved in G2 DNA damage checkpoint,replicative senescence,regulation of signal transduction by p53 class mediator,regulation of histone H3-K9 acetylation,protein phosphorylation",CAMK
XO44 / control,P27707,P27707,8.2257967230847,8.2257967230847,3.88924977362239E-06,3.48653657669725E-07,12,P27707,DCK,Deoxycytidine kinase,DCK_HUMAN,8,29837.2257228693,299.372257228693,XO44,"nucleus,cytosol","deoxycytidine kinase activity,ATP binding,drug binding,nucleoside kinase activity,protein homodimerization activity","pyrimidine nucleotide metabolic process,deoxyribonucleoside monophosphate biosynthetic process,nucleotide biosynthetic process,phosphorylation,pyrimidine nucleoside salvage,purine-containing compound salvage",CAMK
XO44 / control,Q14680,Q14680,7.2200244188109,7.2200244188109,2.29259186801466E-05,1.10361265702819E-06,12,Q14680,MELK,Maternal embryonic leucine zipper kinase,MELK_HUMAN,18,14808.842249189,149.08842249189,XO44,"nucleus,plasma membrane,cell cortex,membrane,cytoplasm","protein serine/threonine kinase activity,non-membrane spanning protein tyrosine kinase activity,calcium ion binding,protein binding,ATP binding,lipid binding,histone serine kinase activity,AMP-activated protein kinase activity","G2/M transition of mitotic cell cycle,apoptotic process,cell proliferation,intrinsic apoptotic signaling pathway in response to oxidative stress,peptidyl-tyrosine phosphorylation,hemopoiesis,intracellular signal transduction,positive regulation of apoptotic process,protein autophosphorylation,neural precursor cell proliferation,protein phosphorylation",CAMK
XO44 / control,Q13554,Q13554,9.16772809545721,9.16772809545721,6.45190185462325E-06,4.86883711018188E-07,12,Q13554,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta,KCC2B_HUMAN,13,57412.3546678637,575.123546678637,XO44,"nucleoplasm,cytoplasm,microtubule organizing center,cytosol,plasma membrane,endocytic vesicle membrane,sarcoplasmic reticulum membrane,neuron projection","actin binding,protein serine/threonine kinase activity,calmodulin-dependent protein kinase activity,Ras guanyl-nucleotide exchange factor activity,protein binding,calmodulin binding,ATP binding,identical protein binding,protein homodimerization activity","MAPK cascade,protein phosphorylation,signal transduction,positive regulation of neuron projection development,regulation of skeletal muscle adaptation,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,intracellular signal transduction,protein autophosphorylation,regulation of long-term neuronal synaptic plasticity,regulation of synapse structural plasticity,regulation of calcium ion transport,interferon-gamma-mediated signaling pathway,regulation of dendritic spine development,positive regulation of dendritic spine morphogenesis,regulation of molecular function,positive regulation of synapse maturation,regulation of cellular response to heat",CAMK
XO44 / control,Q96RG2,Q96RG2,6.73222430542395,6.73222430542395,0.000817751017063351,2.30919015985813E-05,12,Q96RG2,PASK,PAS domain-containing serine/threonine-protein kinase,PASK_HUMAN,21,10531.6691564108,106.316691564108,XO44,"nucleus,cytoplasm,cytosol","protein serine/threonine kinase activity,protein binding,ATP binding,phosphatidylinositol binding","protein phosphorylation,regulation of respiratory gaseous exchange,negative regulation of glycogen biosynthetic process,positive regulation of translation,protein autophosphorylation,regulation of glucagon secretion,regulation of energy homeostasis,regulation of glucose metabolic process",CAMK
XO44 / control,Q96L34,Q96L34,7.07113763014965,7.07113763014965,6.80602996047492E-05,2.55120564050976E-06,12,Q96L34,MARK4,MAP/microtubule affinity-regulating kinase 4,MARK4_HUMAN,6,13346.9729158031,134.469729158031,XO44,"centrosome,microtubule organizing center,cytosol,microtubule cytoskeleton,ciliary basal body,neuron projection","protein serine/threonine kinase activity,protein binding,ATP binding,microtubule binding,gamma-tubulin binding,ubiquitin binding,tau-protein kinase activity","microtubule cytoskeleton organization,microtubule bundle formation,protein phosphorylation,cell cycle,nervous system development,establishment of cell polarity,positive regulation of programmed cell death,cell division,ciliary basal body docking",CAMK
XO44 / control,Q9NRH2,Q9NRH2,6.72702897414422,6.72702897414422,3.90571072707635E-05,1.63688519081617E-06,11,Q9NRH2,SNRK,SNF-related serine/threonine-protein kinase,SNRK_HUMAN,9,10493.4519956304,105.934519956304,XO44,"nucleus,cytoplasm","magnesium ion binding,protein serine/threonine kinase activity,ATP binding","protein phosphorylation,myeloid cell differentiation,intracellular signal transduction",CAMK
