HGNC ,Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
,,HeLa_XO44 / Hek293_XO44,P67936,P67936,2.140272184516882,2.140272184516882,0.0337421883144346,0.009864355713787,6,P67936,TPM4,Tropomyosin alpha-4 chain,TPM4_HUMAN,7,340.8452100954632,4.408452100954632,HeLa_XO44,Hek293_XO44,"stress fiber,podosome,cytosol,cytoskeleton,muscle thin filament tropomyosin,actin filament,focal adhesion,membrane,cortical cytoskeleton,filamentous actin,extracellular exosome","calcium ion binding,protein binding,structural constituent of muscle,identical protein binding,protein homodimerization activity,protein heterodimerization activity,actin filament binding","osteoblast differentiation,muscle contraction,actin filament organization,muscle filament sliding"
,,HeLa_XO44 / Hek293_XO44,Q8N961,Q8N961,2.140088038670557,2.140088038670557,0.0019092995704541,0.0047182485841656,6,Q8N961,ABTB2,Ankyrin repeat and BTB/POZ domain-containing protein 2,ABTB2_HUMAN,8,340.7889441270301,4.407889441270301,HeLa_XO44,Hek293_XO44,"cellular_component,nucleus,nucleoplasm,cytoplasm,SCF ubiquitin ligase complex,cytosol","molecular_function,ubiquitin protein ligase binding,protein heterodimerization activity","regulation of proteolysis,proteasome-mediated ubiquitin-dependent protein catabolic process,cellular response to toxic substance,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,neurogenesis,response to stress"
,,HeLa_XO44 / Hek293_XO44,P08574,P08574,2.132938376427793,2.132938376427793,0.0314321420714555,0.0093981099403821,6,P08574,CYC1,"Cytochrome c1, heme protein, mitochondrial",CY1_HUMAN,10,338.6099001616936,4.386099001616936,HeLa_XO44,Hek293_XO44,"nucleus,mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex III,membrane,integral component of membrane","heme binding,electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity,electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity,metal ion binding","mitochondrial electron transport, ubiquinol to cytochrome c,response to glucagon,mitochondrial ATP synthesis coupled proton transport"
,,HeLa_XO44 / Hek293_XO44,Q96AC1,Q96AC1,2.1319750998874536,2.1319750998874536,0.0147705759161975,0.0065299488088698,6,Q96AC1,FERMT2,Fermitin family homolog 2,FERM2_HUMAN,36,338.3171414041577,4.383171414041577,HeLa_XO44,Hek293_XO44,"stress fiber,nucleus,nucleoplasm,cytoplasm,cytosol,focal adhesion,cell cortex,cell surface,extrinsic component of cytoplasmic side of plasma membrane,lamellipodium membrane,I band,filamentous actin","protein binding,phosphatidylinositol-3,4,5-trisphosphate binding","cell-matrix adhesion,transforming growth factor beta receptor signaling pathway,integrin-mediated signaling pathway,regulation of cell shape,Wnt signaling pathway,integrin activation,cell junction assembly,substrate adhesion-dependent cell spreading,focal adhesion assembly,protein localization to membrane"
,,HeLa_XO44 / Hek293_XO44,P49662,P49662,2.12879794747275,2.12879794747275,0.0286190562379778,0.008829957360514,6,P49662,CASP4,Caspase-4,CASP4_HUMAN,4,337.35292649129053,4.373529264912905,HeLa_XO44,Hek293_XO44,"extracellular region,mitochondrion,endoplasmic reticulum,endoplasmic reticulum membrane,cytosol,plasma membrane,macromolecular complex,IPAF inflammasome complex,NLRP3 inflammasome complex,AIM2 inflammasome complex,cytoplasm","cysteine-type endopeptidase activity,CARD domain binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in execution phase of apoptosis,cysteine-type endopeptidase activity involved in apoptotic signaling pathway","proteolysis,apoptotic process,inflammatory response,regulation of apoptotic process,innate immune response,regulation of inflammatory response,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,intrinsic apoptotic signaling pathway,positive regulation of tumor necrosis factor-mediated signaling pathway,cellular response to beta-amyloid,execution phase of apoptosis,activation of cysteine-type endopeptidase activity involved in apoptotic process"
,,HeLa_XO44 / Hek293_XO44,Cont_Q28107,Cont_Q28107,2.113239970390683,2.113239970390683,0.0116803789520086,0.0061342612061748,6,Cont_Q28107,F5,Coagulation factor V,FA5_BOVIN,44,332.6618661333433,4.326618661333433,HeLa_XO44,Hek293_XO44,,,
,,HeLa_XO44 / Hek293_XO44,P05161,P05161,2.113083242585608,2.113083242585608,0.0109843706745514,0.0060102367877886,6,P05161,ISG15,Ubiquitin-like protein ISG15,ISG15_HUMAN,2,332.61486627575863,4.3261486627575865,HeLa_XO44,Hek293_XO44,"extracellular region,nucleoplasm,cytosol,cytoplasm,nucleus","protein binding,protein tag,ubiquitin protein ligase binding,proteasome binding","viral process,translesion synthesis,positive regulation of bone mineralization,negative regulation of protein ubiquitination,ISG15-protein conjugation,negative regulation of type I interferon production,regulation of interferon-gamma production,response to type I interferon,defense response to bacterium,negative regulation of viral genome replication,defense response to virus,type I interferon signaling pathway,modification-dependent protein catabolic process,protein ubiquitination"
,,HeLa_XO44 / Hek293_XO44,P35555,P35555,2.112672374886195,2.112672374886195,0.0306824206916682,0.0092441706995444,6,P35555,FBN1,Fibrillin-1,FBN1_HUMAN,25,332.4916786569664,4.324916786569664,HeLa_XO44,Hek293_XO44,"microfibril,extracellular region,proteinaceous extracellular matrix,basement membrane,extracellular space,endoplasmic reticulum lumen,extracellular matrix,extracellular exosome","integrin binding,hormone activity,extracellular matrix structural constituent,calcium ion binding,protein binding,heparin binding,extracellular matrix constituent conferring elasticity,identical protein binding,macromolecular complex binding","skeletal system development,metanephros development,heart development,regulation of receptor activity,extracellular matrix disassembly,extracellular matrix organization,cell adhesion mediated by integrin,sequestering of BMP in extracellular matrix,sequestering of TGFbeta in extracellular matrix,camera-type eye development,post-translational protein modification,cellular protein metabolic process,negative regulation of osteoclast differentiation,embryonic eye morphogenesis,post-embryonic eye morphogenesis,cellular response to transforming growth factor beta stimulus,regulation of cellular response to growth factor stimulus,cellular response to insulin-like growth factor stimulus,negative regulation of osteoclast development,anatomical structure morphogenesis"
,,HeLa_XO44 / Hek293_XO44,P16435,P16435,2.107126615609669,2.107126615609669,0.0283083464994439,0.008767817248557,6,P16435,POR,NADPH--cytochrome P450 reductase,NCPR_HUMAN,36,330.83236006740447,4.308323600674044,HeLa_XO44,Hek293_XO44,"mitochondrion,endoplasmic reticulum membrane,membrane,integral component of membrane,intracellular membrane-bounded organelle,cytosol","NADPH-hemoprotein reductase activity,cytochrome-b5 reductase activity, acting on NAD(P)H,protein binding,nitric oxide dioxygenase activity,electron carrier activity,FMN binding,hydrolase activity,enzyme binding,iron-cytochrome-c reductase activity,flavin adenine dinucleotide binding,NADP binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen,oxidoreductase activity","regulation of growth plate cartilage chondrocyte proliferation,xenobiotic metabolic process,response to nutrient,carnitine metabolic process,flavonoid metabolic process,internal peptidyl-lysine acetylation,fatty acid oxidation,electron transport chain,positive regulation of chondrocyte differentiation,positive regulation of monooxygenase activity,response to drug,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,nitrate catabolic process,positive regulation of cholesterol biosynthetic process,positive regulation of smoothened signaling pathway,nitric oxide catabolic process,oxidation-reduction process,negative regulation of lipase activity,demethylation,cellular response to follicle-stimulating hormone stimulus,cellular response to peptide hormone stimulus,positive regulation of steroid hormone biosynthetic process,cellular organofluorine metabolic process,response to hormone"
,,HeLa_XO44 / Hek293_XO44,P13497,P13497,2.106179883266393,2.106179883266393,0.0273799224343365,0.0085918685414226,6,P13497,BMP1,Bone morphogenetic protein 1,BMP1_HUMAN,8,330.5497299092206,4.305497299092206,HeLa_XO44,Hek293_XO44,"extracellular region,proteinaceous extracellular matrix,extracellular space,Golgi apparatus,vesicle","metalloendopeptidase activity,serine-type endopeptidase activity,cytokine activity,calcium ion binding,protein binding,growth factor activity,peptidase activity,metallopeptidase activity,zinc ion binding,identical protein binding","skeletal system development,cartilage condensation,ossification,proteolysis,multicellular organism development,regulation of receptor activity,extracellular matrix disassembly,cell differentiation,high-density lipoprotein particle assembly,positive regulation of cartilage development"
,,HeLa_XO44 / Hek293_XO44,P19971,P19971,2.102311268239583,2.102311268239583,0.025616534429384,0.0082458075607948,6,P19971,TYMP,Thymidine phosphorylase,TYPH_HUMAN,7,329.396748931762,4.29396748931762,HeLa_XO44,Hek293_XO44,cytosol,"phosphorylase activity,growth factor activity,thymidine phosphorylase activity,pyrimidine-nucleoside phosphorylase activity,transferase activity, transferring pentosyl groups,protein homodimerization activity","mitochondrial genome maintenance,angiogenesis,pyrimidine nucleobase metabolic process,pyrimidine nucleoside metabolic process,chemotaxis,regulation of receptor activity,cell differentiation,regulation of myelination,pyrimidine nucleoside salvage,pyrimidine nucleoside catabolic process,regulation of transmission of nerve impulse,regulation of gastric motility"
,,HeLa_XO44 / Hek293_XO44,O60443,O60443,2.0997821880738385,2.0997821880738385,0.007066771775814,0.0052271616426442,6,O60443,GSDME,Gasdermin-E,GSDME_HUMAN,13,328.6446651910514,4.286446651910514,HeLa_XO44,Hek293_XO44,"cytosol,plasma membrane,membrane","phosphatidylinositol-4,5-bisphosphate binding,cardiolipin binding","sensory perception of sound,cell death,negative regulation of cell proliferation,positive regulation of MAPK cascade,inner ear receptor cell differentiation,necrotic cell death,pyroptosis,cellular response to tumor necrosis factor,cellular response to virus,positive regulation of intrinsic apoptotic signaling pathway"
,,HeLa_XO44 / Hek293_XO44,P56199,P56199,2.098875566616464,2.098875566616464,0.0220588905047022,0.0076261950418877,6,P56199,ITGA1,Integrin alpha-1,ITA1_HUMAN,17,328.37538002862806,4.283753800286281,HeLa_XO44,Hek293_XO44,"acrosomal vesicle,plasma membrane,focal adhesion,integrin complex,external side of plasma membrane,cell surface,membrane,integrin alpha1-beta1 complex,neuron projection,perikaryon,membrane raft,basal part of cell,extracellular exosome","receptor binding,protein binding,collagen binding,protein phosphatase binding,metal ion binding,collagen binding involved in cell-matrix adhesion","activation of MAPK activity,muscle contraction,cell-matrix adhesion,integrin-mediated signaling pathway,negative regulation of cell proliferation,extracellular matrix organization,neutrophil chemotaxis,positive regulation of phosphoprotein phosphatase activity,negative regulation of epidermal growth factor receptor signaling pathway,vasodilation,positive regulation of neuron apoptotic process,cellular extravasation,neuron projection morphogenesis"
,,HeLa_XO44 / Hek293_XO44,Q13214,Q13214,2.096412526089239,2.096412526089239,0.000553451621519,0.0034077043702214,6,Q13214,SEMA3B,Semaphorin-3B,SEM3B_HUMAN,6,327.6446602716788,4.276446602716788,HeLa_XO44,Hek293_XO44,"extracellular space,endoplasmic reticulum,extracellular exosome","neuropilin binding,semaphorin receptor binding,chemorepellent activity","cell-cell signaling,axon guidance,negative chemotaxis,negative regulation of axon extension involved in axon guidance,semaphorin-plexin signaling pathway,neural crest cell migration,positive regulation of cell migration"
,,HeLa_XO44 / Hek293_XO44,P36956,P36956,2.094847642964427,2.094847642964427,0.0163909090882012,0.0067456282849481,6,P36956,SREBF1,Sterol regulatory element-binding protein 1,SRBP1_HUMAN,6,327.1810480194394,4.271810480194394,HeLa_XO44,Hek293_XO44,"Golgi membrane,nucleus,nuclear envelope,nucleoplasm,cytoplasm,endoplasmic reticulum membrane,cytosol,ER to Golgi transport vesicle membrane,integral component of membrane","RNA polymerase II regulatory region sequence-specific DNA binding,RNA polymerase II transcription factor activity, sequence-specific DNA binding,transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,DNA binding,chromatin binding,transcription factor activity, sequence-specific DNA binding,RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding,protein binding,protein kinase binding,sterol response element binding,protein dimerization activity","negative regulation of transcription from RNA polymerase II promoter,regulation of heart rate by chemical signal,regulation of transcription from RNA polymerase II promoter,lipid metabolic process,aging,circadian rhythm,cholesterol metabolic process,insulin receptor signaling pathway,lipid biosynthetic process,cellular response to starvation,response to glucose,positive regulation of triglyceride biosynthetic process,regulation of fatty acid metabolic process,lung development,intracellular receptor signaling pathway,positive regulation of histone deacetylation,regulation of protein stability,response to food,response to retinoic acid,response to progesterone,response to glucagon,mRNA transcription from RNA polymerase II promoter,fat cell differentiation,regulation of cholesterol biosynthetic process,positive regulation of cholesterol biosynthetic process,positive regulation of transcription from RNA polymerase II promoter,negative regulation of insulin secretion,response to cAMP,cellular response to fatty acid,regulation of mitophagy,regulation of protein targeting to mitochondrion"
,,HeLa_XO44 / Hek293_XO44,Q9UH17,Q9UH17,2.086444322741776,2.086444322741776,0.0258681915370225,0.0082946808912273,6,Q9UH17,APOBEC3B,DNA dC->dU-editing enzyme APOBEC-3B,ABC3B_HUMAN,11,324.7000630138618,4.247000630138618,HeLa_XO44,Hek293_XO44,"nucleus,cytoplasm","RNA binding,zinc ion binding,deoxycytidine deaminase activity,cytidine deaminase activity","negative regulation of transposition,innate immune response,defense response to virus,cytidine to uridine editing,DNA demethylation"
,,HeLa_XO44 / Hek293_XO44,Q16831,Q16831,2.0831310636258302,2.0831310636258302,0.0303386179229883,0.0091762132233151,6,Q16831,UPP1,Uridine phosphorylase 1,UPP1_HUMAN,9,323.725826083649,4.23725826083649,HeLa_XO44,Hek293_XO44,"nucleus,nucleoplasm,cytosol",uridine phosphorylase activity,"nucleobase-containing compound metabolic process,uridine catabolic process,nucleotide catabolic process,cellular response to glucose starvation,pyrimidine nucleoside salvage,UMP salvage,pyrimidine nucleoside catabolic process"
,,HeLa_XO44 / Hek293_XO44,Cont_Q5KR48;P07951,Cont_Q5KR48;P07951,2.082401251579934,2.082401251579934,0.0274179821814693,0.0085982357296621,6,Cont_Q5KR48;P07951,TPM2,Tropomyosin beta chain,TPM2_BOVIN;TPM2_HUMAN,11,323.511531309477,4.23511531309477,HeLa_XO44,Hek293_XO44,";cytosol,muscle thin filament tropomyosin,actin filament,actin cytoskeleton",";actin binding,structural constituent of muscle,identical protein binding,protein homodimerization activity,protein heterodimerization activity,actin filament binding",";muscle contraction,actin filament organization,muscle filament sliding,regulation of ATPase activity"
ILK,TKL,HeLa_XO44 / Hek293_XO44,Q13418,Q13418,2.073621296316248,2.073621296316248,0.0233294000573689,0.0078454829406715,6,Q13418,ILK,Integrin-linked protein kinase,ILK_HUMAN,17,320.94195121621533,4.209419512162153,HeLa_XO44,Hek293_XO44,"nucleoplasm,cytoplasm,cytosol,plasma membrane,cell-cell junction,focal adhesion,membrane,sarcomere,lamellipodium,cell junction,neuronal cell body,costamere,terminal bouton,dendritic shaft,stress fiber","protein serine/threonine kinase activity,signal transducer activity,integrin binding,protein binding,ATP binding,SH3 domain binding,protein kinase binding","MAPK cascade,branching involved in ureteric bud morphogenesis,positive regulation of protein phosphorylation,positive regulation of cell-matrix adhesion,outflow tract morphogenesis,protein phosphorylation,negative regulation of protein kinase activity,cell cycle arrest,cell-matrix adhesion,integrin-mediated signaling pathway,multicellular organism development,cell aging,cell proliferation,positive regulation of cell proliferation,positive regulation of signal transduction,negative regulation of cardiac muscle cell apoptotic process,fibroblast migration,negative regulation of smooth muscle cell migration,peptidyl-serine phosphorylation,nerve development,myelination in peripheral nervous system,positive regulation of cell migration,positive regulation of BMP signaling pathway,myelin assembly,regulation of actin cytoskeleton organization,tumor necrosis factor-mediated signaling pathway,cell junction assembly,substrate adhesion-dependent cell spreading,positive regulation of phosphorylation,positive regulation of MAP kinase activity,protein kinase B signaling,negative regulation of neuron apoptotic process,establishment or maintenance of epithelial cell apical/basal polarity,positive regulation of myoblast differentiation,positive regulation of osteoblast differentiation,positive regulation of axon extension,positive regulation of transcription, DNA-templated,negative regulation of smooth muscle cell proliferation,neuron projection morphogenesis,positive regulation of dendrite morphogenesis,protein heterooligomerization,positive regulation of protein kinase B signaling,platelet aggregation,positive regulation of canonical Wnt signaling pathway,fibril organization,positive regulation of NIK/NF-kappaB signaling,negative regulation of neural precursor cell proliferation"
,,HeLa_XO44 / Hek293_XO44,Q8IVL5,Q8IVL5,2.069104150999921,2.069104150999921,0.0084847889497272,0.0055318914084533,6,Q8IVL5,P3H2,Prolyl 3-hydroxylase 2,P3H2_HUMAN,20,319.626023566648,4.19626023566648,HeLa_XO44,Hek293_XO44,"basement membrane,endoplasmic reticulum,endoplasmic reticulum lumen,Golgi apparatus,sarcoplasmic reticulum","iron ion binding,procollagen-proline 3-dioxygenase activity,L-ascorbic acid binding","negative regulation of cell proliferation,peptidyl-proline hydroxylation,collagen metabolic process,oxidation-reduction process"
,,HeLa_XO44 / Hek293_XO44,Q96MY1,Q96MY1,2.065733540756838,2.065733540756838,0.0263490986632147,0.0083909908870583,6,Q96MY1,NOL4L,Nucleolar protein 4-like,NOL4L_HUMAN,4,318.646783483113,4.18646783483113,HeLa_XO44,Hek293_XO44,"nucleoplasm,cytosol",protein binding,
,,HeLa_XO44 / Hek293_XO44,Q9BUP3,Q9BUP3,2.065184883224821,2.065184883224821,0.0273218463473826,0.0085795353509531,6,Q9BUP3,HTATIP2,Oxidoreductase HTATIP2,HTAI2_HUMAN,17,318.4876022052044,4.184876022052044,HeLa_XO44,Hek293_XO44,"nucleus,nuclear envelope,cytoplasm,cytosol,membrane","transcription coactivator activity,protein binding,oxidoreductase activity","angiogenesis,regulation of transcription from RNA polymerase II promoter,apoptotic process,viral process,cell differentiation,negative regulation of apoptotic process,regulation of angiogenesis,nuclear import,oxidation-reduction process"
,,HeLa_XO44 / Hek293_XO44,Q8IV33,Q8IV33,2.0568177560895897,2.0568177560895897,0.0024958684295466,0.0047730276111831,6,Q8IV33,KIAA0825,Uncharacterized protein KIAA0825,K0825_HUMAN,11,316.0675448659104,4.160675448659104,HeLa_XO44,Hek293_XO44,,,
,,HeLa_XO44 / Hek293_XO44,Q9NSV4,Q9NSV4,2.056544842281863,2.056544842281863,0.0138429146154357,0.0064303142760284,6,Q9NSV4,DIAPH3,Protein diaphanous homolog 3,DIAP3_HUMAN,41,315.9888450469947,4.159888450469947,HeLa_XO44,Hek293_XO44,"nucleus,cytosol","actin binding,Rho GTPase binding,cadherin binding","spermatogenesis,actin cytoskeleton organization"
,,HeLa_XO44 / Hek293_XO44,Q9UKS6,Q9UKS6,2.0511771887779267,2.0511771887779267,0.0342324502987963,0.0099659754573982,6,Q9UKS6,PACSIN3,Protein kinase C and casein kinase substrate in neurons protein 3,PACN3_HUMAN,11,314.44400344128525,4.1444400344128525,HeLa_XO44,Hek293_XO44,"cytoplasm,endosome,cytosol,plasma membrane,extracellular exosome,membrane","protein binding,cytoskeletal protein binding,lipid binding,calcium channel inhibitor activity,phospholipid binding","endocytosis,regulation of endocytosis,negative regulation of endocytosis,positive regulation of membrane protein ectodomain proteolysis,negative regulation of calcium ion transport,regulation of molecular function,membrane tubulation,cytoskeleton organization,cytokinesis"
,,HeLa_XO44 / Hek293_XO44,B0YJ81,B0YJ81,2.0491887242806186,2.0491887242806186,0.0066431627931991,0.0051311415151977,6,B0YJ81,HACD1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1,HACD1_HUMAN,3,313.8731693484333,4.138731693484333,HeLa_XO44,Hek293_XO44,"endoplasmic reticulum membrane,integral component of endoplasmic reticulum membrane","3-hydroxyacyl-CoA dehydratase activity,3R-hydroxyacyl-CoA dehydratase activity,Requires Ontology,3-hydroxy-behenoyl-CoA dehydratase activity,3-hydroxy-lignoceroyl-CoA dehydratase activity","multicellular organism development,sphingolipid biosynthetic process,fatty acid elongation,long-chain fatty-acyl-CoA biosynthetic process,very long-chain fatty acid biosynthetic process"
,,HeLa_XO44 / Hek293_XO44,Q86UU1,Q86UU1,2.041030533749464,2.041030533749464,0.0110889278493136,0.0060315822131951,6,Q86UU1,PHLDB1,Pleckstrin homology-like domain family B member 1,PHLB1_HUMAN,25,311.5393930423279,4.115393930423279,HeLa_XO44,Hek293_XO44,basal cortex,,"regulation of gastrulation,regulation of epithelial to mesenchymal transition,regulation of microtubule cytoskeleton organization,positive regulation of basement membrane assembly involved in embryonic body morphogenesis"
,,HeLa_XO44 / Hek293_XO44,Q9UBX5,Q9UBX5,2.0376214042226355,2.0376214042226355,0.0077381572373164,0.0053741843283436,6,Q9UBX5,FBLN5,Fibulin-5,FBLN5_HUMAN,2,310.5680618132783,4.105680618132783,HeLa_XO44,Hek293_XO44,"extracellular region,proteinaceous extracellular matrix,extracellular space,extracellular matrix,extracellular exosome,elastic fiber","integrin binding,calcium ion binding,protein binding,protein C-terminus binding,protein homodimerization activity","regulation of cell growth,cell-matrix adhesion,extracellular matrix organization,protein localization to cell surface,secretion,elastic fiber assembly,regulation of removal of superoxide radicals"
,,HeLa_XO44 / Hek293_XO44,Q96QD5,Q96QD5,2.035725533226199,2.035725533226199,0.0307939492126407,0.009267589588526,6,Q96QD5,DEPDC7,DEP domain-containing protein 7,DEPD7_HUMAN,10,310.02888143333394,4.100288814333339,HeLa_XO44,Hek293_XO44,"cellular_component,cytosol","molecular_function,GTPase activator activity","signal transduction,biological_process,intracellular signal transduction,positive regulation of GTPase activity,regulation of small GTPase mediated signal transduction"
,,HeLa_XO44 / Hek293_XO44,Q9P0V9,Q9P0V9,2.0304323359795884,2.0304323359795884,0.0207413749123408,0.007401464082462,6,Q9P0V9,SEPTIN10,Septin-10,SEP10_HUMAN,7,308.52725631114663,4.085272563111467,HeLa_XO44,Hek293_XO44,"cytoplasm,cytoskeleton,microtubule cytoskeleton,septin ring,septin filament array,septin complex,cell division site","protein binding,GTP binding,GTPase activity,protein complex scaffold","cell cycle,cell division,mitotic cytokinesis,cilium morphogenesis,septin ring assembly,cellular protein localization"
,,HeLa_XO44 / Hek293_XO44,Q86UT8,Q86UT8,2.0294817001511274,2.0294817001511274,0.0269281783772919,0.008502003351946,6,Q86UT8,CENATAC,Centrosomal AT-AC splicing factor,CATAC_HUMAN,2,308.258153893448,4.08258153893448,HeLa_XO44,Hek293_XO44,,,
,,HeLa_XO44 / Hek293_XO44,Q5JTC6,Q5JTC6,2.025753721470493,2.025753721470493,0.0297493908888601,0.0090636477574727,6,Q5JTC6,AMER1,APC membrane recruitment protein 1,AMER1_HUMAN,6,307.20456119403724,4.072045611940372,HeLa_XO44,Hek293_XO44,"cytosol,plasma membrane,nuclear body,intracellular membrane-bounded organelle","protein binding,phosphatidylinositol-4,5-bisphosphate binding,beta-catenin binding,beta-catenin destruction complex binding","Wnt signaling pathway,positive regulation of protein ubiquitination,proteasome-mediated ubiquitin-dependent protein catabolic process,anatomical structure development,bone development,adipose tissue development,regulation of canonical Wnt signaling pathway,mesenchymal cell differentiation involved in kidney development,negative regulation of canonical Wnt signaling pathway,positive regulation of canonical Wnt signaling pathway,positive regulation of cellular protein catabolic process,beta-catenin destruction complex assembly,beta-catenin destruction complex disassembly"
,,HeLa_XO44 / Hek293_XO44,Q15434,Q15434,2.025169472863334,2.025169472863334,0.0206544531064339,0.0073832579199341,6,Q15434,RBMS2,"RNA-binding motif, single-stranded-interacting protein 2",RBMS2_HUMAN,6,307.0396888374464,4.070396888374464,HeLa_XO44,Hek293_XO44,nucleus,RNA binding,RNA processing
,,HeLa_XO44 / Hek293_XO44,P01130,P01130,2.0183227922608573,2.0183227922608573,0.0299166730635366,0.0090954116354604,6,P01130,LDLR,Low-density lipoprotein receptor,LDLR_HUMAN,8,305.1125537148291,4.051125537148291,HeLa_XO44,Hek293_XO44,"intracellular,lysosome,early endosome,late endosome,Golgi apparatus,plasma membrane,integral component of plasma membrane,clathrin-coated pit,external side of plasma membrane,cell surface,endosome membrane,membrane,basolateral plasma membrane,clathrin-coated endocytic vesicle membrane,low-density lipoprotein particle,endolysosome membrane,somatodendritic compartment,receptor complex,apical part of cell,sorting endosome,PCSK9-LDLR complex","beta-amyloid binding,virus receptor activity,protease binding,low-density lipoprotein receptor activity,calcium ion binding,protein binding,low-density lipoprotein particle binding,very-low-density lipoprotein particle receptor activity,clathrin heavy chain binding,identical protein binding","lipid metabolic process,endocytosis,receptor-mediated endocytosis,long-term memory,cholesterol metabolic process,positive regulation of gene expression,negative regulation of gene expression,positive regulation of triglyceride biosynthetic process,regulation of phosphatidylcholine catabolic process,positive regulation of lipoprotein particle clearance,phospholipid transport,intestinal cholesterol absorption,cholesterol transport,plasma lipoprotein particle clearance,chylomicron remnant clearance,low-density lipoprotein particle clearance,lipoprotein catabolic process,cholesterol homeostasis,positive regulation of endocytosis,viral entry into host cell,positive regulation of inflammatory response,regulation of protein metabolic process,negative regulation of protein metabolic process,membrane organization,response to caloric restriction,Requires Ontology,cholesterol import,cellular response to fatty acid,cellular response to low-density lipoprotein particle stimulus,receptor-mediated endocytosis of low-density lipoprotein particle involved in cholesterol transport,regulation of cholesterol metabolic process,beta-amyloid clearance,positive regulation of beta-amyloid clearance,negative regulation of microglial cell activation,positive regulation of lysosomal protein catabolic process,regulation of cholesterol homeostasis"
,,HeLa_XO44 / Hek293_XO44,Q13488,Q13488,2.0178975966796995,2.0178975966796995,0.0218331346196049,0.0075853936470359,6,Q13488,TCIRG1,V-type proton ATPase 116 kDa subunit a 3,VPP3_HUMAN,13,304.99317527240714,4.049931752724072,HeLa_XO44,Hek293_XO44,"vacuolar proton-transporting V-type ATPase, V0 domain,mitochondrion,lysosomal membrane,plasma membrane,integral component of plasma membrane,endosome membrane,apical plasma membrane,vacuolar proton-transporting V-type ATPase complex,phagocytic vesicle membrane,ficolin-1-rich granule membrane","transporter activity,proton-transporting ATPase activity, rotational mechanism,ATPase binding","cellular defense response,vacuolar acidification,protein catabolic process in the vacuole,positive regulation of cell proliferation,insulin receptor signaling pathway,ATP synthesis coupled proton transport,ATP hydrolysis coupled proton transport,macroautophagy,transferrin transport,ion transmembrane transport,neutrophil degranulation,vacuolar proton-transporting V-type ATPase complex assembly,phagosome acidification,hydrogen ion transmembrane transport"
,,HeLa_XO44 / Hek293_XO44,P78357,P78357,2.013034038870116,2.013034038870116,0.0305393735759674,0.0092189683315929,6,P78357,CNTNAP1,Contactin-associated protein 1,CNTP1_HUMAN,26,303.6301766544634,4.036301766544634,HeLa_XO44,Hek293_XO44,"integral component of plasma membrane,integral component of membrane,paranodal junction,paranode region of axon,myelin sheath,voltage-gated potassium channel complex","receptor activity,SH3/SH2 adaptor activity,protein binding,SH3 domain binding","protein localization to paranode region of axon,cytoskeleton organization,cell adhesion,signal transduction,positive regulation of signal transduction,neuronal action potential propagation,central nervous system myelination,myelination in peripheral nervous system,paranodal junction assembly,neuron projection morphogenesis,neuromuscular process controlling posture,neuromuscular process controlling balance,protein localization to juxtaparanode region of axon"
,,HeLa_XO44 / Hek293_XO44,Cont_Q2KIG3,Cont_Q2KIG3,2.012812797954937,2.012812797954937,0.0035793338468995,0.004776387277119,6,Cont_Q2KIG3,CPB2,Carboxypeptidase B2,CBPB2_BOVIN,9,303.5682836969471,4.035682836969471,HeLa_XO44,Hek293_XO44,,,
,,HeLa_XO44 / Hek293_XO44,Q9HAB3,Q9HAB3,1.9983314940892007,1.9983314940892007,0.0296212754569027,0.0090369992919364,6,Q9HAB3,SLC52A2,"Solute carrier family 52, riboflavin transporter, member 2",S52A2_HUMAN,2,299.5376593375563,3.995376593375563,HeLa_XO44,Hek293_XO44,"plasma membrane,integral component of plasma membrane","virus receptor activity,protein binding,riboflavin transporter activity","riboflavin metabolic process,riboflavin transport,viral entry into host cell"
