Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
CMGC,HeLa_XO44 / HeLa_control,Q9NYV4,Q9NYV4,5.65355715145655,5.65355715145655,0.0063818220855055,0.0050784724763642,6,Q9NYV4,CDK12,Cyclin-dependent kinase 12,CDK12_HUMAN,47,4933.73426195011,50.3373426195011,HeLa_XO44,HeLa_control,"fibrillar center,cyclin K-CDK12 complex,nucleus,nucleoplasm,chromosome,cyclin/CDK positive transcription elongation factor complex,nuclear speck,nuclear cyclin-dependent protein kinase holoenzyme complex","protein kinase activity,cyclin-dependent protein serine/threonine kinase activity,protein binding,ATP binding,transcription factor binding,RNA polymerase II carboxy-terminal domain kinase activity,protein kinase binding,cyclin binding,transcription regulatory region DNA binding","transcription elongation from RNA polymerase II promoter,mRNA processing,RNA splicing,regulation of MAP kinase activity,regulation of RNA splicing,positive regulation of transcription from RNA polymerase II promoter,protein autophosphorylation,regulation of cell cycle,phosphorylation of RNA polymerase II C-terminal domain,negative regulation of stem cell differentiation,protein phosphorylation"
CMGC,HeLa_XO44 / HeLa_control,Q14004,Q14004,5.65214267464234,5.65214267464234,0.012261923550982,0.0062256330567217,6,Q14004,CDK13,Cyclin-dependent kinase 13,CDK13_HUMAN,50,4928.80140301365,50.2880140301365,HeLa_XO44,HeLa_control,"cyclin K-CDK13 complex,extracellular region,extracellular space,nucleoplasm,chromosome,Golgi apparatus,cytosol,cyclin/CDK positive transcription elongation factor complex,nuclear speck,nuclear cyclin-dependent protein kinase holoenzyme complex,ficolin-1-rich granule lumen,nucleus","RNA binding,protein kinase activity,cyclin-dependent protein serine/threonine kinase activity,protein binding,ATP binding,transcription factor binding,RNA polymerase II carboxy-terminal domain kinase activity,protein kinase binding,cyclin binding,transcription regulatory region DNA binding","alternative mRNA splicing, via spliceosome,transcription elongation from RNA polymerase II promoter,regulation of mitotic nuclear division,multicellular organism development,positive regulation of cell proliferation,viral process,hemopoiesis,neutrophil degranulation,positive regulation of transcription from RNA polymerase II promoter,phosphorylation of RNA polymerase II C-terminal domain,negative regulation of stem cell differentiation,protein phosphorylation"
CMGC,HeLa_XO44 / HeLa_control,P45984,P45984,4.96963944175563,4.96963944175563,0.0118111962968009,0.0061550160947926,6,P45984,MAPK9,Mitogen-activated protein kinase 9,MK09_HUMAN,13,3033.36176486064,31.3336176486064,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,neuron projection","JUN kinase activity,protein binding,ATP binding,transcription factor binding,MAP kinase activity","protein phosphorylation,JNK cascade,JUN phosphorylation,response to mechanical stimulus,positive regulation of gene expression,positive regulation of macrophage derived foam cell differentiation,peptidyl-serine phosphorylation,cellular response to reactive oxygen species,Fc-epsilon receptor signaling pathway,regulation of circadian rhythm,positive regulation of apoptotic process,rhythmic process,neuron development,regulation of sequence-specific DNA binding transcription factor activity,Requires Ontology,cellular response to cadmium ion,cellular response to organic substance,positive regulation of podosome assembly,positive regulation of apoptotic signaling pathway,intracellular signal transduction,regulation of gene expression"
CMGC,HeLa_XO44 / HeLa_control,Q00537,Q00537,5.27458203147637,5.27458203147637,0.033246080540544,0.0097665259098105,6,Q00537,CDK17,Cyclin-dependent kinase 17,CDK17_HUMAN,17,3770.85948200055,38.7085948200055,HeLa_XO44,HeLa_control,"nucleus,cytoplasm","protein kinase activity,protein binding,ATP binding,cyclin-dependent protein serine/threonine kinase activity,protein serine/threonine kinase activity",protein phosphorylation
CMGC,HeLa_XO44 / HeLa_control,Q00536,Q00536,4.23434864715259,4.23434864715259,0.0090993922790518,0.0056606670148336,6,Q00536,CDK16,Cyclin-dependent kinase 16,CDK16_HUMAN,30,1782.20080529011,18.8220080529011,HeLa_XO44,HeLa_control,"cytoplasm,cytosol,plasma membrane,microtubule cytoskeleton,cell junction,extrinsic component of cytoplasmic side of plasma membrane,neuron projection,nucleus,synaptic vesicle","protein serine/threonine kinase activity,protein binding,ATP binding,cyclin-dependent protein serine/threonine kinase activity","protein phosphorylation,exocytosis,spermatogenesis,growth hormone secretion,neuron projection development,regulation of insulin secretion involved in cellular response to glucose stimulus"
CMGC,HeLa_XO44 / HeLa_control,P28482,P28482,5.60057179530395,5.60057179530395,0.0138445017067345,0.0064303142760284,6,P28482,MAPK1,Mitogen-activated protein kinase 1,MK01_HUMAN,20,4752.21575073618,48.5221575073618,HeLa_XO44,HeLa_control,"extracellular region,nucleus,nucleoplasm,cytoplasm,mitochondrion,early endosome,late endosome,Golgi apparatus,microtubule organizing center,cytosol,cytoskeleton,plasma membrane,caveola,focal adhesion,axon,pseudopodium,dendrite cytoplasm,azurophil granule lumen,perikaryon,extracellular exosome,mitotic spindle,ficolin-1-rich granule lumen","phosphotyrosine binding,DNA binding,protein serine/threonine kinase activity,MAP kinase activity,MAP kinase kinase activity,protein binding,ATP binding,transcription factor binding,RNA polymerase II carboxy-terminal domain kinase activity,kinase activity,phosphatase binding,mitogen-activated protein kinase kinase kinase binding,identical protein binding","MAPK cascade,activation of MAPK activity,transcription, DNA-templated,protein phosphorylation,apoptotic process,chemotaxis,cellular response to DNA damage stimulus,cell cycle,signal transduction,chemical synaptic transmission,axon guidance,learning or memory,positive regulation of cell proliferation,fibroblast growth factor receptor signaling pathway,positive regulation of gene expression,positive regulation of peptidyl-threonine phosphorylation,regulation of phosphatidylinositol 3-kinase signaling,diadenosine tetraphosphate biosynthetic process,viral process,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,sensory perception of pain,cytosine metabolic process,platelet activation,regulation of ossification,positive regulation of cell migration,regulation of cellular pH,thyroid gland development,regulation of protein stability,lipopolysaccharide-mediated signaling pathway,positive regulation of telomere maintenance via telomerase,regulation of stress-activated MAPK cascade,positive regulation of protein import into nucleus, translocation,mammary gland epithelial cell proliferation,cellular response to amino acid starvation,cellular response to reactive oxygen species,response to nicotine,Fc-epsilon receptor signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,ERBB signaling pathway,outer ear morphogenesis,neutrophil degranulation,response to exogenous dsRNA,response to estrogen,negative regulation of cell differentiation,positive regulation of translation,positive regulation of transcription, DNA-templated,thymus development,T cell receptor signaling pathway,B cell receptor signaling pathway,regulation of sequence-specific DNA binding transcription factor activity,stress-activated MAPK cascade,regulation of cytoskeleton organization,positive regulation of telomerase activity,Bergmann glial cell differentiation,long-term synaptic potentiation,face development,JAK-STAT cascade involved in growth hormone signaling pathway,lung morphogenesis,trachea formation,labyrinthine layer blood vessel development,cardiac neural crest cell development involved in heart development,ERK1 and ERK2 cascade,response to epidermal growth factor,cellular response to cadmium ion,cellular response to tumor necrosis factor,caveolin-mediated endocytosis,regulation of Golgi inheritance,cellular response to granulocyte macrophage colony-stimulating factor stimulus,regulation of cellular response to heat,cellular response to dopamine,positive regulation of telomere capping,regulation of early endosome to late endosome transport,intracellular signal transduction,regulation of gene expression,cell surface receptor signaling pathway,cellular response to organic substance"
CMGC,HeLa_XO44 / HeLa_control,P53778,P53778,4.56153108974177,4.56153108974177,0.014587625718843,0.0065061459082974,6,P53778,MAPK12,Mitogen-activated protein kinase 12,MK12_HUMAN,17,2261.33543408154,23.6133543408154,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol","magnesium ion binding,protein serine/threonine kinase activity,MAP kinase activity,protein binding,ATP binding","MAPK cascade,transcription, DNA-templated,regulation of transcription, DNA-templated,DNA damage induced protein phosphorylation,cell cycle arrest,signal transduction,muscle organ development,regulation of gene expression,positive regulation of peptidase activity,peptidyl-serine phosphorylation,myoblast differentiation,vascular endothelial growth factor receptor signaling pathway,positive regulation of muscle cell differentiation,cellular response to organic substance,intracellular signal transduction"
CMGC,HeLa_XO44 / HeLa_control,Q16539,Q16539,5.70557364099882,5.70557364099882,0.0191208275658768,0.0071143207352507,6,Q16539,MAPK14,Mitogen-activated protein kinase 14,MK14_HUMAN,19,5118.5374974758,52.185374974758,HeLa_XO44,HeLa_control,"spindle pole,extracellular region,nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,nuclear speck,secretory granule lumen,extracellular exosome,ficolin-1-rich granule lumen","protein serine/threonine kinase activity,MAP kinase activity,MAP kinase kinase activity,protein binding,ATP binding,enzyme binding,protein phosphatase binding,mitogen-activated protein kinase p38 binding,NFAT protein binding","DNA damage checkpoint,activation of MAPK activity,cell morphogenesis,cartilage condensation,angiogenesis,placenta development,chondrocyte differentiation,positive regulation of cytokine secretion involved in immune response,glucose metabolic process,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,apoptotic process,chemotaxis,signal transduction,cell surface receptor signaling pathway,transmembrane receptor protein serine/threonine kinase signaling pathway,Ras protein signal transduction,skeletal muscle tissue development,positive regulation of gene expression,positive regulation of macrophage chemotaxis,positive regulation of myotube differentiation,myoblast differentiation involved in skeletal muscle regeneration,peptidyl-serine phosphorylation,fatty acid oxidation,regulation of ossification,osteoclast differentiation,positive regulation of cyclase activity,lipopolysaccharide-mediated signaling pathway,response to muramyl dipeptide,intracellular signal transduction,cellular response to vascular endothelial growth factor stimulus,response to muscle stretch,p38MAPK cascade,positive regulation of protein import into nucleus,signal transduction in response to DNA damage,neutrophil degranulation,positive regulation of erythrocyte differentiation,positive regulation of myoblast differentiation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of glucose import,vascular endothelial growth factor receptor signaling pathway,regulation of sequence-specific DNA binding transcription factor activity,striated muscle cell differentiation,positive regulation of muscle cell differentiation,positive regulation of cardiac muscle cell proliferation,3'-UTR-mediated mRNA stabilization,cellular response to lipopolysaccharide,cellular response to lipoteichoic acid,cellular response to tumor necrosis factor,cellular response to ionizing radiation,negative regulation of canonical Wnt signaling pathway,positive regulation of brown fat cell differentiation,stress-induced premature senescence,cellular response to virus,regulation of cytokine production involved in inflammatory response,positive regulation of myoblast fusion,regulation of signal transduction by p53 class mediator,positive regulation of metallopeptidase activity,positive regulation of reactive oxygen species metabolic process,positive regulation of interleukin-12 secretion,positive regulation of blood vessel endothelial cell migration,cellular response to organic substance,regulation of gene expression"
CMGC,HeLa_XO44 / HeLa_control,P45983,P45983,5.87913331627926,5.87913331627926,0.0108816296497543,0.0059958661329546,6,P45983,MAPK8,Mitogen-activated protein kinase 8,MK08_HUMAN,21,5785.66415153595,58.8566415153595,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,axon,neuron projection,basilar dendrite","protein serine/threonine kinase activity,JUN kinase activity,protein binding,ATP binding,kinase activity,enzyme binding,histone deacetylase regulator activity,histone deacetylase binding,MAP kinase activity","protein phosphorylation,JNK cascade,JUN phosphorylation,response to UV,positive regulation of gene expression,regulation of macroautophagy,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,regulation of histone deacetylation,positive regulation of cyclase activity,negative regulation of protein binding,regulation of protein localization,cellular response to amino acid starvation,cellular response to reactive oxygen species,Fc-epsilon receptor signaling pathway,regulation of circadian rhythm,positive regulation of apoptotic process,negative regulation of apoptotic process,rhythmic process,neuron development,regulation of sequence-specific DNA binding transcription factor activity,positive regulation of protein metabolic process,stress-activated MAPK cascade,cellular response to lipopolysaccharide,cellular response to mechanical stimulus,cellular response to cadmium ion,cellular response to cytokine stimulus,positive regulation of deacetylase activity,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,regulation of DNA replication origin binding,response to mechanical stimulus,regulation of gene expression,intracellular signal transduction,cellular response to organic substance"
CMGC,HeLa_XO44 / HeLa_control,Q13164,Q13164,3.88216289154129,3.88216289154129,0.0094618764253107,0.0057184185933881,6,Q13164,MAPK7,Mitogen-activated protein kinase 7,MK07_HUMAN,18,1374.50917212489,14.7450917212489,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,cytosol,PML body","protein serine/threonine kinase activity,MAP kinase activity,protein binding,ATP binding,mitogen-activated protein kinase binding","MAPK cascade,cell cycle,signal transduction,axon guidance,peptidyl-serine phosphorylation,cAMP-mediated signaling,negative regulation of cAMP catabolic process,negative regulation of heterotypic cell-cell adhesion,positive regulation of transcription from RNA polymerase II promoter in response to stress,negative regulation of MAP kinase activity,regulation of angiogenesis,positive regulation of transcription from RNA polymerase II promoter,negative regulation of inflammatory response,positive regulation of protein metabolic process,negative regulation of cyclic-nucleotide phosphodiesterase activity,negative regulation of NFAT protein import into nucleus,negative regulation of response to cytokine stimulus,cellular response to hydrogen peroxide,negative regulation of ERK5 cascade,cellular response to growth factor stimulus,cellular response to laminar fluid shear stress,cellular response to transforming growth factor beta stimulus,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,negative regulation of endothelial cell apoptotic process,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,regulation of gene expression,intracellular signal transduction"
CMGC,HeLa_XO44 / HeLa_control,P31152,P31152,3.23831517342155,3.23831517342155,0.0020736755501157,0.0047730276111831,6,P31152,MAPK4,Mitogen-activated protein kinase 4,MK04_HUMAN,3,843.691411597553,9.43691411597553,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,cytosol","protein serine/threonine kinase activity,MAP kinase activity,protein binding,ATP binding,protein kinase binding,protein homodimerization activity,protein heterodimerization activity","MAPK cascade,protein phosphorylation,cell cycle,regulation of gene expression,cellular response to organic substance,intracellular signal transduction,cell surface receptor signaling pathway"
CMGC,HeLa_XO44 / HeLa_control,P27361,P27361,5.23011768997149,5.23011768997149,0.0150766170020701,0.0065785431756649,6,P27361,MAPK3,Mitogen-activated protein kinase 3,MK03_HUMAN,20,3653.37801238955,37.5337801238955,HeLa_XO44,HeLa_control,"nucleus,nuclear envelope,nucleoplasm,cytoplasm,mitochondrion,early endosome,late endosome,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,caveola,focal adhesion,pseudopodium,extracellular exosome","phosphotyrosine binding,protein serine/threonine kinase activity,MAP kinase activity,MAP kinase kinase activity,protein binding,ATP binding,kinase activity,phosphatase binding,identical protein binding,scaffold protein binding","MAPK cascade,activation of MAPK activity,positive regulation of protein phosphorylation,positive regulation of cytokine secretion involved in immune response,transcription initiation from RNA polymerase I promoter,protein phosphorylation,apoptotic process,DNA damage induced protein phosphorylation,cell cycle,axon guidance,fibroblast growth factor receptor signaling pathway,response to toxic substance,positive regulation of gene expression,positive regulation of macrophage chemotaxis,regulation of phosphatidylinositol 3-kinase signaling,viral process,phosphorylation,peptidyl-serine phosphorylation,sensory perception of pain,arachidonic acid metabolic process,platelet activation,regulation of ossification,BMP signaling pathway,regulation of cellular pH,thyroid gland development,positive regulation of cyclase activity,lipopolysaccharide-mediated signaling pathway,positive regulation of telomere maintenance via telomerase,regulation of stress-activated MAPK cascade,positive regulation of histone phosphorylation,cellular response to amino acid starvation,cellular response to reactive oxygen species,positive regulation of histone acetylation,peptidyl-tyrosine autophosphorylation,Fc-epsilon receptor signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,outer ear morphogenesis,response to exogenous dsRNA,positive regulation of translation,positive regulation of transcription from RNA polymerase II promoter,thymus development,regulation of sequence-specific DNA binding transcription factor activity,cartilage development,stress-activated MAPK cascade,regulation of cytoskeleton organization,positive regulation of telomerase activity,Bergmann glial cell differentiation,face development,JAK-STAT cascade involved in growth hormone signaling pathway,lung morphogenesis,trachea formation,cardiac neural crest cell development involved in heart development,macromolecular complex assembly,ERK1 and ERK2 cascade,positive regulation of ERK1 and ERK2 cascade,interleukin-1-mediated signaling pathway,response to epidermal growth factor,cellular response to mechanical stimulus,cellular response to cadmium ion,cellular response to tumor necrosis factor,caveolin-mediated endocytosis,regulation of Golgi inheritance,regulation of cellular response to heat,cellular response to dopamine,positive regulation of telomere capping,positive regulation of xenophagy,positive regulation of metallopeptidase activity,regulation of early endosome to late endosome transport,negative regulation of apolipoprotein binding,regulation of gene expression,cellular response to organic substance,cell surface receptor signaling pathway,intracellular signal transduction"
CMGC,HeLa_XO44 / HeLa_control,Q8IZL9,Q8IZL9,2.53043901183422,2.53043901183422,0.005400115011743,0.0048947328629,6,Q8IZL9,CDK20,Cyclin-dependent kinase 20,CDK20_HUMAN,9,477.747459907712,5.77747459907712,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,cilium","cyclin-dependent protein serine/threonine kinase activity,protein binding,ATP binding,cyclin-dependent protein kinase activating kinase activity","protein phosphorylation,cell cycle,multicellular organism development,cell division,positive regulation of cyclin-dependent protein kinase activity"
CMGC,HeLa_XO44 / HeLa_control,Q96SB4,Q96SB4,4.04569083889941,4.04569083889941,0.0173379162995606,0.0068727784977406,6,Q96SB4,SRPK1,SRSF protein kinase 1,SRPK1_HUMAN,22,1551.48371555962,16.5148371555962,HeLa_XO44,HeLa_control,"nucleus,cytoplasm,endoplasmic reticulum,cytosol,plasma membrane,nuclear matrix","magnesium ion binding,RNA binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding","spliceosomal complex assembly,protein phosphorylation,chromosome segregation,RNA splicing,viral process,sperm chromatin condensation,intracellular signal transduction,positive regulation of viral genome replication,negative regulation of viral genome replication,innate immune response,regulation of mRNA splicing, via spliceosome,regulation of mRNA processing,regulation of gene expression"
CMGC,HeLa_XO44 / HeLa_control,Q00535,Q00535,7.03426186052102,7.03426186052102,0.0144806453985127,0.0064967191610804,6,Q00535,CDK5,Cyclin-dependent kinase 5,CDK5_HUMAN,14,13007.6192457864,131.076192457864,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,cytosol,plasma membrane,postsynaptic density,membrane,cyclin-dependent protein kinase 5 holoenzyme complex,lamellipodium,cell junction,filopodium,axon,dendrite,growth cone,neuromuscular junction,neuronal cell body,perikaryon,postsynaptic membrane,presynapse,microtubule","p53 binding,protein kinase activity,protein serine/threonine kinase activity,cyclin-dependent protein serine/threonine kinase activity,ErbB-2 class receptor binding,protein binding,ATP binding,kinase activity,protein kinase binding,acetylcholine receptor activator activity,ErbB-3 class receptor binding,ephrin receptor binding,tau-protein kinase activity,microtubule binding","microtubule cytoskeleton organization,neuron migration,synaptic transmission, dopaminergic,protein phosphorylation,intracellular protein transport,nucleocytoplasmic transport,cell cycle,cell-matrix adhesion,chemical synaptic transmission,synapse assembly,skeletal muscle tissue development,motor neuron axon guidance,cell proliferation,visual learning,response to wounding,Schwann cell development,synaptic vesicle exocytosis,regulation of macroautophagy,phosphorylation,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,sensory perception of pain,cerebellar cortex formation,hippocampus development,layer formation in cerebral cortex,central nervous system neuron development,corpus callosum development,neuron differentiation,regulation of cell migration,negative regulation of axon extension,cortical actin cytoskeleton organization,neuron projection development,negative regulation of protein ubiquitination,negative regulation of synaptic plasticity,positive regulation of protein binding,receptor catabolic process,synaptic transmission, glutamatergic,protein localization to synapse,serine phosphorylation of STAT protein,regulation of apoptotic process,receptor clustering,positive regulation of neuron apoptotic process,negative regulation of cell cycle,positive regulation of protein kinase activity,negative regulation of proteolysis,negative regulation of transcription, DNA-templated,positive regulation of calcium ion-dependent exocytosis,protein autophosphorylation,negative regulation of protein export from nucleus,behavioral response to cocaine,regulation of synaptic plasticity,synaptic vesicle endocytosis,rhythmic process,axon extension,oligodendrocyte differentiation,dendrite morphogenesis,cell division,neuron apoptotic process,regulation of synaptic transmission, glutamatergic,excitatory postsynaptic potential,regulation of dendritic spine morphogenesis,calcium ion import,regulation of cell cycle arrest,positive regulation of protein targeting to membrane,negative regulation of neuron death,regulation of signal transduction by p53 class mediator,regulation of protein localization to plasma membrane,regulation of synaptic vesicle recycling,cellular response to beta-amyloid,positive regulation of actin cytoskeleton reorganization,positive regulation of receptor activity,synaptic vesicle transport,axonogenesis,vesicle-mediated transport"
CMGC,HeLa_XO44 / HeLa_control,P78362,P78362,4.43967593743266,4.43967593743266,0.0170060310053486,0.006828431001008,6,P78362,SRPK2,SRSF protein kinase 2,SRPK2_HUMAN,14,2070.07941929746,21.7007941929746,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol","magnesium ion binding,RNA binding,protein serine/threonine kinase activity,protein binding,ATP binding,14-3-3 protein binding","spliceosomal complex assembly,angiogenesis,protein phosphorylation,positive regulation of cell proliferation,RNA splicing,positive regulation of gene expression,cell differentiation,nuclear speck organization,intracellular signal transduction,positive regulation of neuron apoptotic process,positive regulation of viral genome replication,negative regulation of viral genome replication,innate immune response,positive regulation of cell cycle,regulation of mRNA splicing, via spliceosome,regulation of gene expression,regulation of mRNA processing"
CMGC,HeLa_XO44 / HeLa_control,Q9Y463,Q9Y463,5.68652829139867,5.68652829139867,0.0225780473453751,0.0077177288502133,6,Q9Y463,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,DYR1B_HUMAN,16,5050.09911109513,51.5009911109513,HeLa_XO44,HeLa_control,nucleus,"transcription coactivator activity,protein kinase activity,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,protein tyrosine kinase activity,protein binding,ATP binding","protein phosphorylation,myoblast fusion,peptidyl-tyrosine phosphorylation,positive regulation of transcription, DNA-templated,adipose tissue development"
CMGC,HeLa_XO44 / HeLa_control,Q13627,Q13627,5.19410038412965,5.19410038412965,0.0226233404433354,0.0077257488434166,6,Q13627,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,DYR1A_HUMAN,18,3560.83382978287,36.6083382978287,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,nuclear speck,axon,dendrite,intracellular ribonucleoprotein complex,cytoskeleton","protein kinase activity,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,protein tyrosine kinase activity,non-membrane spanning protein tyrosine kinase activity,protein binding,ATP binding,identical protein binding,protein self-association,tau protein binding","regulation of alternative mRNA splicing, via spliceosome,protein phosphorylation,nervous system development,circadian rhythm,viral process,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,peptidyl-tyrosine phosphorylation,negative regulation of microtubule polymerization,positive regulation of RNA splicing,beta-amyloid formation,peptidyl-serine autophosphorylation,peptidyl-tyrosine autophosphorylation,negative regulation of DNA damage response, signal transduction by p53 class mediator,protein autophosphorylation,negative regulation of mRNA splicing, via spliceosome,positive regulation of protein deacetylation"
CMGC,HeLa_XO44 / HeLa_control,P49840,P49840,5.88205079718875,5.88205079718875,0.0105291735080481,0.005937682955865,6,P49840,GSK3A,Glycogen synthase kinase-3 alpha,GSK3A_HUMAN,21,5797.57844132926,58.9757844132926,HeLa_XO44,HeLa_control,"mitochondrion,cytosol,beta-catenin destruction complex,neuronal cell body,apical dendrite,postsynapse,proximal dendrite","protein serine/threonine kinase activity,receptor binding,protein binding,ATP binding,protein kinase A catalytic subunit binding,tau-protein kinase activity","regulation of systemic arterial blood pressure,cardiac left ventricle morphogenesis,glycogen metabolic process,protein phosphorylation,dopamine receptor signaling pathway,nervous system development,insulin receptor signaling pathway,positive regulation of gene expression,negative regulation of UDP-glucose catabolic process,Wnt signaling pathway,peptidyl-threonine phosphorylation,positive regulation of protein ubiquitination,negative regulation of TOR signaling,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,cellular response to insulin stimulus,cellular response to interleukin-3,IRE1-mediated unfolded protein response,proteasome-mediated ubiquitin-dependent protein catabolic process,negative regulation of glycogen biosynthetic process,positive regulation of protein catabolic process,positive regulation of heart contraction,negative regulation of glucose import,negative regulation of insulin receptor signaling pathway,excitatory postsynaptic potential,negative regulation of cell growth involved in cardiac muscle cell development,positive regulation of adrenergic receptor signaling pathway,negative regulation of canonical Wnt signaling pathway,extrinsic apoptotic signaling pathway,extrinsic apoptotic signaling pathway in absence of ligand,Requires Ontology,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,positive regulation of beta-amyloid formation,regulation of mitophagy,positive regulation of protein targeting to mitochondrion,negative regulation of glycogen synthase activity, transferring glucose-1-phosphate,negative regulation of type B pancreatic cell development,negative regulation of glycogen (starch) synthase activity,positive regulation of glycogen (starch) synthase activity"
CMGC,HeLa_XO44 / HeLa_control,P49841,P49841,6.59646938314174,6.59646938314174,0.0115585250075919,0.0061121385132715,6,P49841,GSK3B,Glycogen synthase kinase-3 beta,GSK3B_HUMAN,15,9576.87541602525,96.7687541602525,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,mitochondrion,centrosome,cytosol,plasma membrane,beta-catenin destruction complex,postsynapse,Wnt signalosome","RNA polymerase II transcription factor binding,protease binding,p53 binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,beta-catenin binding,kinase activity,protein kinase binding,ubiquitin protein ligase binding,protein kinase A catalytic subunit binding,dynactin binding,tau-protein kinase activity,NF-kappaB binding","epithelial to mesenchymal transition,positive regulation of cell-matrix adhesion,glycogen metabolic process,protein phosphorylation,ER overload response,dopamine receptor signaling pathway,circadian rhythm,positive regulation of gene expression,positive regulation of mitochondrion organization,Wnt signaling pathway,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,hippocampus development,neuron projection development,negative regulation of protein complex assembly,positive regulation of protein complex assembly,negative regulation of protein binding,positive regulation of protein binding,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,negative regulation of phosphoprotein phosphatase activity,regulation of microtubule-based process,intracellular signal transduction,cellular response to interleukin-3,negative regulation of apoptotic process,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of GTPase activity,negative regulation of glycogen biosynthetic process,positive regulation of protein catabolic process,protein autophosphorylation,positive regulation of protein export from nucleus,negative regulation of NFAT protein import into nucleus,canonical Wnt signaling pathway,excitatory postsynaptic potential,regulation of microtubule cytoskeleton organization,superior temporal gyrus development,negative regulation of canonical Wnt signaling pathway,extrinsic apoptotic signaling pathway,extrinsic apoptotic signaling pathway in absence of ligand,regulation of cellular response to heat,negative regulation of protein localization to nucleus,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,negative regulation of neuron death,positive regulation of neuron death,negative regulation of dopaminergic neuron differentiation,cellular response to beta-amyloid,positive regulation of protein localization to centrosome,beta-catenin destruction complex assembly,beta-catenin destruction complex disassembly,negative regulation of type B pancreatic cell development,negative regulation of glycogen (starch) synthase activity"
CMGC,HeLa_XO44 / HeLa_control,Q86Z02,Q86Z02,5.21268115996623,5.21268115996623,0.0091460892395633,0.0056691831877513,6,Q86Z02,HIPK1,Homeodomain-interacting protein kinase 1,HIPK1_HUMAN,20,3608.28741262252,37.0828741262252,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,PML body,nuclear speck","protein serine/threonine kinase activity,protein binding,ATP binding","eye development,transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,smoothened signaling pathway,positive regulation of cell proliferation,anterior/posterior pattern specification,regulation of tumor necrosis factor-mediated signaling pathway,retina layer formation,neuron differentiation,adherens junction assembly,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,positive regulation of angiogenesis,embryonic camera-type eye morphogenesis,embryonic retina morphogenesis in camera-type eye,definitive hemopoiesis,lens induction in camera-type eye,iris morphogenesis,endothelial cell apoptotic process,extrinsic apoptotic signaling pathway,regulation of signal transduction by p53 class mediator"
